 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 400.000  1.37568e+00  4.58921e-01  9.02351e-02  1.15834e-01  1.61854e-01  8.11622e-02  1.01347e+00  3.62206e-01  9.31389e-02  6.87155e-02
 401.000  1.36374e+00  4.54715e-01  8.88280e-02  1.14875e-01  1.60273e-01  8.03772e-02  1.00713e+00  3.56606e-01  9.25563e-02  6.77163e-02
 402.000  1.44143e+00  4.80124e-01  9.32254e-02  1.21366e-01  1.69216e-01  8.48361e-02  1.06711e+00  3.74318e-01  9.80680e-02  7.11481e-02
 403.000  1.34622e+00  4.46826e-01  8.64253e-02  1.12866e-01  1.57844e-01  7.89638e-02  9.99187e-01  3.47030e-01  9.18260e-02  6.60182e-02
 404.000  1.44279e+00  4.78320e-01  9.19810e-02  1.20881e-01  1.68981e-01  8.44999e-02  1.07344e+00  3.69351e-01  9.86495e-02  7.03316e-02
 405.000  1.31970e+00  4.37310e-01  8.35519e-02  1.10611e-01  1.54402e-01  7.72168e-02  9.84108e-01  3.35591e-01  9.04401e-02  6.39614e-02
 406.000  1.30615e+00  4.31738e-01  8.21042e-02  1.09178e-01  1.52640e-01  7.62281e-02  9.76365e-01  3.29783e-01  8.97285e-02  6.29116e-02
 407.000  1.26874e+00  4.18740e-01  7.91947e-02  1.05922e-01  1.48104e-01  7.39131e-02  9.50596e-01  3.18141e-01  8.73603e-02  6.07440e-02
 408.000  1.37081e+00  4.51618e-01  8.49721e-02  1.14254e-01  1.59842e-01  7.96996e-02  1.02946e+00  3.41357e-01  9.46076e-02  6.52340e-02
 409.000  1.51330e+00  4.97688e-01  9.31536e-02  1.25929e-01  1.76261e-01  8.78110e-02  1.13906e+00  3.74237e-01  1.04680e-01  7.15814e-02
 410.000  1.26180e+00  4.13960e-01  7.71288e-02  1.04718e-01  1.46804e-01  7.30336e-02  9.51936e-01  3.09860e-01  8.74832e-02  5.93210e-02
 411.000  1.47798e+00  4.84558e-01  8.97269e-02  1.22664e-01  1.71775e-01  8.54509e-02  1.11740e+00  3.60578e-01  1.02689e-01  6.90860e-02
 412.000  1.52741e+00  4.99935e-01  9.20989e-02  1.26577e-01  1.77329e-01  8.81420e-02  1.15732e+00  3.70093e-01  1.06358e-01  7.09710e-02
 413.000  1.43911e+00  4.70010e-01  8.61743e-02  1.18986e-01  1.66893e-01  8.28560e-02  1.09278e+00  3.46328e-01  1.00427e-01  6.64663e-02
 414.000  1.40893e+00  4.60338e-01  8.38140e-02  1.16680e-01  1.63233e-01  8.10970e-02  1.07209e+00  3.36841e-01  9.85250e-02  6.47082e-02
 415.000  1.49868e+00  4.88554e-01  8.85429e-02  1.23811e-01  1.73441e-01  8.60594e-02  1.14286e+00  3.55817e-01  1.05029e-01  6.84122e-02
 416.000  1.48580e+00  4.84000e-01  8.72023e-02  1.22733e-01  1.71776e-01  8.52212e-02  1.13534e+00  3.50454e-01  1.04338e-01  6.74377e-02
 417.000  1.43697e+00  4.67266e-01  8.37673e-02  1.18496e-01  1.65956e-01  8.22587e-02  1.10026e+00  3.36702e-01  1.01114e-01  6.48421e-02
 418.000  1.40210e+00  4.54924e-01  8.11800e-02  1.15349e-01  1.61752e-01  8.00765e-02  1.07580e+00  3.26296e-01  9.88657e-02  6.28864e-02
 419.000  1.43180e+00  4.64061e-01  8.23683e-02  1.17716e-01  1.65009e-01  8.16563e-02  1.10165e+00  3.30154e-01  1.01241e-01  6.37681e-02
 420.000  1.21008e+00  3.91823e-01  6.91396e-02  9.94360e-02  1.39318e-01  6.89208e-02  9.32011e-01  2.78065e-01  8.56516e-02  5.36668e-02
 421.000  1.51204e+00  4.88962e-01  8.58335e-02  1.24124e-01  1.73908e-01  8.59828e-02  1.16714e+00  3.44906e-01  1.07260e-01  6.66489e-02
 422.000  1.44540e+00  4.67010e-01  8.15154e-02  1.18609e-01  1.66082e-01  8.20926e-02  1.11780e+00  3.27607e-01  1.02725e-01  6.33565e-02
 423.000  1.21771e+00  3.92541e-01  6.82188e-02  9.96704e-02  1.39772e-01  6.89974e-02  9.43571e-01  2.74143e-01  8.67137e-02  5.30585e-02
 424.000  1.33561e+00  4.29799e-01  7.43295e-02  1.09137e-01  1.53143e-01  7.55314e-02  1.03736e+00  2.98251e-01  9.53325e-02  5.78109e-02
 425.000  1.38073e+00  4.43928e-01  7.63483e-02  1.12775e-01  1.58168e-01  7.79867e-02  1.07386e+00  3.06870e-01  9.86875e-02  5.94805e-02
 426.000  1.32413e+00  4.25300e-01  7.27483e-02  1.08086e-01  1.51536e-01  7.46893e-02  1.03179e+00  2.92342e-01  9.48209e-02  5.67155e-02
 427.000  1.27071e+00  4.07496e-01  6.93620e-02  1.03572e-01  1.45278e-01  7.15470e-02  9.91997e-01  2.78716e-01  9.11638e-02  5.41139e-02
 428.000  1.28380e+00  4.11170e-01  6.96292e-02  1.04531e-01  1.46630e-01  7.21719e-02  1.00401e+00  2.79790e-01  9.22679e-02  5.43623e-02
 429.000  1.16532e+00  3.72846e-01  6.28014e-02  9.48229e-02  1.32970e-01  6.54237e-02  9.12994e-01  2.52327e-01  8.39034e-02  4.90671e-02
 430.000  9.27763e-01  2.96142e-01  4.96732e-02  7.52919e-02  1.05755e-01  5.19615e-02  7.28217e-01  1.99546e-01  6.69225e-02  3.88326e-02
 431.000  8.32362e-01  2.65765e-01  4.42919e-02  6.76387e-02  9.47965e-02  4.66040e-02  6.54429e-01  1.77933e-01  6.01415e-02  3.46550e-02
 432.000  1.49509e+00  4.77552e-01  7.90711e-02  1.21671e-01  1.70124e-01  8.36918e-02  1.17744e+00  3.17649e-01  1.08206e-01  6.19182e-02
 433.000  1.32779e+00  4.22334e-01  6.97597e-02  1.07466e-01  1.50921e-01  7.40391e-02  1.04762e+00  2.80168e-01  9.62754e-02  5.46458e-02
 434.000  1.25931e+00  4.00138e-01  6.57482e-02  1.01852e-01  1.43004e-01  7.01261e-02  9.95273e-01  2.64039e-01  9.14645e-02  5.15391e-02
 435.000  1.36724e+00  4.34296e-01  7.09501e-02  1.10624e-01  1.55120e-01  7.60776e-02  1.08235e+00  2.84887e-01  9.94670e-02  5.56533e-02
 436.000  1.51283e+00  4.79753e-01  7.80054e-02  1.22205e-01  1.71475e-01  8.40250e-02  1.19965e+00  3.13189e-01  1.10246e-01  6.12287e-02
 437.000  1.52427e+00  4.82745e-01  7.81097e-02  1.22989e-01  1.72608e-01  8.45275e-02  1.21070e+00  3.13563e-01  1.11262e-01  6.13463e-02
 438.000  1.36266e+00  4.31002e-01  6.93849e-02  1.09827e-01  1.54164e-01  7.54481e-02  1.08408e+00  2.78578e-01  9.96258e-02  5.45386e-02
