 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 405.248  1.34188e+00  4.51675e-01  8.50182e-02  1.13920e-01  1.57114e-01  7.95719e-02  1.00009e+00  3.41791e-01  9.19092e-02  6.52047e-02
 406.081  1.32760e+00  4.46276e-01  8.36077e-02  1.12579e-01  1.55294e-01  7.86037e-02  9.91450e-01  3.36152e-01  9.11148e-02  6.41789e-02
 406.913  1.33373e+00  4.47701e-01  8.34836e-02  1.12955e-01  1.55860e-01  7.88387e-02  9.98055e-01  3.35679e-01  9.17217e-02  6.41387e-02
 407.746  1.35803e+00  4.55207e-01  8.45010e-02  1.14862e-01  1.58550e-01  8.01455e-02  1.01824e+00  3.39791e-01  9.35767e-02  6.49737e-02
 408.578  1.38373e+00  4.63177e-01  8.56093e-02  1.16885e-01  1.61405e-01  8.15343e-02  1.03947e+00  3.44266e-01  9.55273e-02  6.58775e-02
 409.411  1.40009e+00  4.68016e-01  8.61295e-02  1.18118e-01  1.63167e-01  8.23710e-02  1.05371e+00  3.46380e-01  9.68365e-02  6.63300e-02
 410.243  1.41592e+00  4.72684e-01  8.65979e-02  1.19314e-01  1.64860e-01  8.31758e-02  1.06763e+00  3.48292e-01  9.81152e-02  6.67449e-02
 411.075  1.43878e+00  4.79730e-01  8.74903e-02  1.21116e-01  1.67370e-01  8.43970e-02  1.08687e+00  3.51911e-01  9.98833e-02  6.74870e-02
 411.907  1.45743e+00  4.85404e-01  8.81321e-02  1.22575e-01  1.69392e-01  8.53757e-02  1.10291e+00  3.54517e-01  1.01358e-01  6.80342e-02
 412.739  1.46135e+00  4.86209e-01  8.78822e-02  1.22810e-01  1.69701e-01  8.54964e-02  1.10782e+00  3.53529e-01  1.01809e-01  6.78924e-02
 413.571  1.45839e+00  4.84760e-01  8.72115e-02  1.22482e-01  1.69209e-01  8.52188e-02  1.10755e+00  3.50841e-01  1.01784e-01  6.74254e-02
 414.403  1.46004e+00  4.84851e-01  8.68165e-02  1.22545e-01  1.69252e-01  8.52113e-02  1.11079e+00  3.49258e-01  1.02081e-01  6.71706e-02
 415.235  1.46382e+00  4.85622e-01  8.65578e-02  1.22774e-01  1.69543e-01  8.53249e-02  1.11560e+00  3.48221e-01  1.02524e-01  6.70195e-02
 416.067  1.45953e+00  4.83673e-01  8.58328e-02  1.22307e-01  1.68902e-01  8.49630e-02  1.11423e+00  3.45300e-01  1.02398e-01  6.65043e-02
 416.899  1.44381e+00  4.77893e-01  8.44440e-02  1.20864e-01  1.66939e-01  8.39302e-02  1.10413e+00  3.39676e-01  1.01470e-01  6.54699e-02
