 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 894.195  7.57918e-01  1.77550e-01  7.75758e-03  4.69337e-02  7.29153e-02  2.88542e-02  7.31228e-01  2.66897e-02  6.71918e-02  5.72343e-03
 900.842  6.65803e-01  1.34030e-01  6.67429e-03  3.59913e-02  6.34538e-02  2.13068e-02  6.44104e-01  2.16993e-02  5.91860e-02  4.26779e-03
 907.472  6.80306e-01  1.41066e-01  6.71630e-03  3.77853e-02  6.49039e-02  2.25124e-02  6.57572e-01  2.27338e-02  6.04236e-02  4.48031e-03
 914.084  6.62896e-01  1.32705e-01  6.42581e-03  3.56501e-02  6.31071e-02  2.10741e-02  6.41617e-01  2.12785e-02  5.89575e-02  4.14957e-03
 920.678  6.84973e-01  1.52974e-01  6.54963e-03  4.07406e-02  6.55237e-02  2.46306e-02  6.62870e-01  2.21032e-02  6.09104e-02  4.61329e-03
 927.255  6.45851e-01  1.32324e-01  6.05917e-03  3.55641e-02  6.14721e-02  2.10300e-02  6.25902e-01  1.99492e-02  5.75134e-02  3.95869e-03
 933.815  4.37732e-01  4.55156e-02  4.01129e-03  1.36403e-02  4.08869e-02  6.55023e-03  4.26278e-01  1.14539e-02  3.91702e-02  1.71663e-03
 940.358  5.45742e-01  8.56367e-02  4.91630e-03  2.39673e-02  5.13924e-02  1.29885e-02  5.30482e-01  1.52605e-02  4.87453e-02  2.64709e-03
 946.883  5.01959e-01  6.71801e-02  4.43099e-03  1.94205e-02  4.70921e-02  9.92610e-03  4.88561e-01  1.33979e-02  4.48933e-02  2.19883e-03
 953.391  5.23265e-01  7.99008e-02  4.55082e-03  2.25320e-02  4.92344e-02  1.20461e-02  5.09168e-01  1.40971e-02  4.67869e-02  2.44753e-03
 959.883  5.61402e-01  9.97413e-02  4.81769e-03  2.72644e-02  5.30365e-02  1.54747e-02  5.46050e-01  1.53520e-02  5.01759e-02  2.86059e-03
 966.357  5.87428e-01  1.17757e-01  4.96723e-03  3.15909e-02  5.57159e-02  1.86720e-02  5.71161e-01  1.62670e-02  5.24833e-02  3.23260e-03
 972.814  6.16278e-01  1.34258e-01  5.12848e-03  3.57270e-02  5.86411e-02  2.15362e-02  5.99086e-01  1.71918e-02  5.50493e-02  3.59178e-03
 979.255  6.17504e-01  1.38346e-01  5.05158e-03  3.66879e-02  5.88156e-02  2.22747e-02  6.00444e-01  1.70604e-02  5.51740e-02  3.64154e-03
 985.679  6.38771e-01  1.54596e-01  5.14685e-03  4.04799e-02  6.11201e-02  2.52270e-02  6.20894e-01  1.78775e-02  5.70531e-02  4.06704e-03
 992.086  6.40125e-01  1.59128e-01  5.07576e-03  4.14240e-02  6.13789e-02  2.61491e-02  6.22279e-01  1.78456e-02  5.71804e-02  4.19856e-03
 998.476  6.35365e-01  1.58674e-01  4.94766e-03  4.12583e-02  6.09245e-02  2.61098e-02  6.17924e-01  1.74406e-02  5.67802e-02  4.14422e-03
1004.850  6.04940e-01  1.49941e-01  4.61967e-03  3.90359e-02  5.79146e-02  2.46023e-02  5.88685e-01  1.62543e-02  5.40935e-02  3.82116e-03
1011.208  6.15980e-01  1.52303e-01  4.61615e-03  3.96607e-02  5.89175e-02  2.49638e-02  5.99803e-01  1.61765e-02  5.51151e-02  3.80248e-03
1017.548  6.06177e-01  1.51765e-01  4.46125e-03  3.94802e-02  5.80132e-02  2.49386e-02  5.90462e-01  1.57144e-02  5.42567e-02  3.75643e-03
1023.873  6.00565e-01  1.49009e-01  4.33244e-03  3.87483e-02  5.73941e-02  2.44410e-02  5.85357e-01  1.52084e-02  5.37876e-02  3.60652e-03
1030.181  5.95536e-01  1.49727e-01  4.21763e-03  3.88671e-02  5.69656e-02  2.46458e-02  5.80624e-01  1.49117e-02  5.33527e-02  3.61291e-03
1036.473  5.84605e-01  1.47698e-01  4.06176e-03  3.82862e-02  5.59343e-02  2.43594e-02  5.70553e-01  1.40517e-02  5.24273e-02  3.50698e-03
1042.749  5.79547e-01  1.46105e-01  3.94680e-03  3.78442e-02  5.54031e-02  2.40878e-02  5.65560e-01  1.39877e-02  5.19685e-02  3.43464e-03
1049.009  5.72462e-01  1.44504e-01  3.81914e-03  3.75064e-02  5.46616e-02  2.37778e-02  5.58730e-01  1.37316e-02  5.13409e-02  3.32079e-03
1055.253  5.63579e-01  1.41485e-01  3.68198e-03  3.67540e-02  5.37109e-02  2.32223e-02  5.50732e-01  1.28468e-02  5.06059e-02  3.10498e-03
1061.481  5.48366e-01  1.36968e-01  3.51593e-03  3.56356e-02  5.21643e-02  2.24126e-02  5.36052e-01  1.23145e-02  4.92570e-02  2.90730e-03
1067.693  5.34833e-01  1.31723e-01  3.38983e-03  3.43020e-02  5.07875e-02  2.14717e-02  5.23055e-01  1.17787e-02  4.80627e-02  2.72475e-03
1073.889  5.26276e-01  1.28190e-01  3.29993e-03  3.35007e-02  4.99304e-02  2.08147e-02  5.14865e-01  1.14115e-02  4.73101e-02  2.62027e-03
1080.069  5.13106e-01  1.22778e-01  3.18313e-03  3.22210e-02  4.86260e-02  1.98512e-02  5.02181e-01  1.09250e-02  4.61446e-02  2.48144e-03
1086.234  5.01343e-01  1.17186e-01  3.07623e-03  3.08134e-02  4.74548e-02  1.88862e-02  4.90863e-01  1.04799e-02  4.51046e-02  2.35023e-03
1092.383  4.80773e-01  1.09205e-01  2.91933e-03  2.88942e-02  4.54338e-02  1.75044e-02  4.70897e-01  9.87666e-03  4.32700e-02  2.16386e-03
1098.516  4.45693e-01  9.21637e-02  2.67463e-03  2.45672e-02  4.19622e-02  1.46010e-02  4.36757e-01  8.93543e-03  4.01329e-02  1.82920e-03
1104.634  4.32062e-01  8.44302e-02  2.56374e-03  2.26406e-02  4.05965e-02  1.32545e-02  4.23764e-01  8.29743e-03  3.89390e-02  1.65744e-03
