 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 405.248    1.74071e-01    1.74162e-01   -9.11606e-05
 406.081    1.71670e-01    1.72188e-01   -5.17588e-04
 406.913    1.72728e-01    1.72851e-01   -1.23250e-04
 407.746    1.75950e-01    1.75864e-01    8.60739e-05
 408.578    1.78631e-01    1.79057e-01   -4.26474e-04
 409.411    1.79996e-01    1.81040e-01   -1.04361e-03
 410.243    1.83015e-01    1.82958e-01    5.72219e-05
 411.075    1.85385e-01    1.85794e-01   -4.08918e-04
 411.907    1.87974e-01    1.88095e-01   -1.20924e-04
 412.739    1.88975e-01    1.88505e-01    4.69957e-04
 413.571    1.87540e-01    1.88037e-01   -4.97443e-04
 414.403    1.87866e-01    1.88166e-01   -2.99846e-04
 415.235    1.88217e-01    1.88561e-01   -3.43627e-04
 416.067    1.88415e-01    1.87904e-01    5.11490e-04
 416.899    1.85765e-01    1.85764e-01    1.06204e-06
 417.730    1.82557e-01    1.82683e-01   -1.26301e-04
 418.562    1.79693e-01    1.79436e-01    2.57481e-04
 419.393    1.76871e-01    1.77235e-01   -3.63983e-04
 420.225    1.76940e-01    1.77150e-01   -2.10134e-04
 421.056    1.78032e-01    1.77869e-01    1.62514e-04
 421.888    1.76399e-01    1.76604e-01   -2.04827e-04
 422.719    1.72728e-01    1.73377e-01   -6.49278e-04
 423.550    1.71835e-01    1.70993e-01    8.42198e-04
 424.382    1.70082e-01    1.70514e-01   -4.31784e-04
 425.213    1.70247e-01    1.70132e-01    1.14761e-04
 426.044    1.68195e-01    1.68136e-01    5.89009e-05
 426.875    1.64361e-01    1.64245e-01    1.16327e-04
 427.706    1.58613e-01    1.58201e-01    4.11651e-04
 428.537    1.49096e-01    1.49614e-01   -5.17948e-04
 429.368    1.41273e-01    1.40547e-01    7.26196e-04
 430.199    1.36554e-01    1.36568e-01   -1.43074e-05
 431.030    1.42193e-01    1.41920e-01    2.72717e-04
 431.860    1.53294e-01    1.53406e-01   -1.11615e-04
 432.691    1.63699e-01    1.63355e-01    3.43727e-04
 433.522    1.68331e-01    1.68767e-01   -4.36029e-04
 434.352    1.73261e-01    1.72790e-01    4.71183e-04
 435.183    1.77821e-01    1.77934e-01   -1.12648e-04
 436.013    1.82602e-01    1.82472e-01    1.30120e-04
 436.844    1.83894e-01    1.83517e-01    3.76778e-04
 437.674    1.80893e-01    1.81199e-01   -3.05763e-04
 438.504    1.79229e-01    1.78862e-01    3.66722e-04
 439.335    1.79676e-01    1.79465e-01    2.10724e-04
 440.165    1.82898e-01    1.82926e-01   -2.84312e-05
 440.995    1.87453e-01    1.87308e-01    1.44525e-04
 441.825    1.90955e-01    1.91097e-01   -1.41774e-04
 442.655    1.94210e-01    1.93751e-01    4.59150e-04
 443.486    1.95022e-01    1.95234e-01   -2.11545e-04
 444.316    1.95878e-01    1.95702e-01    1.75570e-04
