 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 894.195    6.68275e-02    6.73599e-02   -5.32405e-04
 900.842    5.19770e-02    5.21824e-02   -2.05448e-04
 907.472    5.56352e-02    5.46582e-02    9.76960e-04
 914.084    5.26834e-02    5.17086e-02    9.74819e-04
 920.678    5.83043e-02    5.85959e-02   -2.91561e-04
 927.255    5.26627e-02    5.14329e-02    1.22976e-03
 933.815    2.04673e-02    2.01762e-02    2.91061e-04
 940.358    3.53085e-02    3.51683e-02    1.40177e-04
 946.883    2.86465e-02    2.85719e-02    7.45693e-05
 953.391    3.31262e-02    3.30686e-02    5.75979e-05
 959.883    3.96045e-02    3.98710e-02   -2.66537e-04
 966.357    4.60168e-02    4.59345e-02    8.23114e-05
 972.814    5.29474e-02    5.17028e-02    1.24456e-03
 979.255    5.26777e-02    5.30609e-02   -3.83241e-04
 985.679    5.81740e-02    5.84132e-02   -2.39161e-04
 992.086    5.85524e-02    5.97552e-02   -1.20283e-03
 998.476    5.92980e-02    5.95392e-02   -2.41245e-04
1004.850    5.65420e-02    5.63856e-02    1.56436e-04
1011.208    5.73868e-02    5.73210e-02    6.58015e-05
1017.548    5.66675e-02    5.69692e-02   -3.01703e-04
1023.873    5.56349e-02    5.60799e-02   -4.44998e-04
1030.181    5.66598e-02    5.61825e-02    4.77265e-04
1036.473    5.60987e-02    5.53707e-02    7.27969e-04
1042.749    5.45128e-02    5.48287e-02   -3.15873e-04
1049.009    5.45574e-02    5.42521e-02    3.05265e-04
1055.253    5.31183e-02    5.32231e-02   -1.04756e-04
1061.481    5.09950e-02    5.16163e-02   -6.21349e-04
1067.693    4.93337e-02    4.98207e-02   -4.87032e-04
1073.889    4.80196e-02    4.86291e-02   -6.09470e-04
1080.069    4.66452e-02    4.67758e-02   -1.30606e-04
1086.234    4.49527e-02    4.48653e-02    8.74455e-05
1092.383    4.34253e-02    4.20259e-02    1.39939e-03
1098.516    3.59570e-02    3.59749e-02   -1.79384e-05
1104.634    3.23458e-02    3.32798e-02   -9.33954e-04
1110.737    3.16379e-02    3.12675e-02    3.70435e-04
1116.824    1.64833e-02    1.62840e-02    1.99302e-04
1122.896    7.17889e-03    7.21482e-03   -3.59347e-05
1128.953    1.04577e-02    1.02744e-02    1.83329e-04
1134.995    8.21146e-03    8.27155e-03   -6.00852e-05
1141.021    1.62583e-02    1.64669e-02   -2.08613e-04
1147.033    1.26607e-02    1.28833e-02   -2.22644e-04
1153.030    1.70291e-02    1.74375e-02   -4.08420e-04
1159.012    2.75231e-02    2.79779e-02   -4.54833e-04
1164.979    3.37571e-02    3.38893e-02   -1.32212e-04
1170.931    3.54763e-02    3.50300e-02    4.46345e-04
1176.869    3.45167e-02    3.50261e-02   -5.09350e-04
1182.792    3.23509e-02    3.26847e-02   -3.33761e-04
1188.701    3.36763e-02    3.27605e-02    9.15781e-04
1194.595    3.49078e-02    3.47605e-02    1.47291e-04
1200.475    3.32015e-02    3.31555e-02    4.60387e-05
1206.341    3.50209e-02    3.47054e-02    3.15539e-04
1212.193    3.40790e-02    3.40315e-02    4.75336e-05
1218.030    3.58202e-02    3.57770e-02    4.31535e-05
1223.854    3.57172e-02    3.60943e-02   -3.77059e-04
1229.663    3.74892e-02    3.68814e-02    6.07824e-04
1235.458    3.84883e-02    3.72311e-02    1.25720e-03
1241.240    3.87420e-02    3.69920e-02    1.74995e-03
1247.008    3.56359e-02    3.64639e-02   -8.27996e-04
1252.762    3.53463e-02    3.54812e-02   -1.34928e-04
1258.503    3.45784e-02    3.38987e-02    6.79695e-04
1264.230    3.15647e-02    3.15020e-02    6.26775e-05
1269.944    3.15516e-02    3.09523e-02    5.99335e-04
1275.644    3.23659e-02    3.23542e-02    1.16572e-05
1281.331    3.17783e-02    3.07397e-02    1.03861e-03
1287.004    3.20341e-02    3.19797e-02    5.44123e-05
1292.665    2.95154e-02    3.10873e-02   -1.57188e-03
1298.312    2.93292e-02    2.90924e-02    2.36802e-04
1303.947    2.69365e-02    2.69798e-02   -4.32655e-05
1309.568    2.56443e-02    2.50191e-02    6.25222e-04
1315.177    2.15482e-02    2.22046e-02   -6.56440e-04
1320.772    1.95500e-02    1.92589e-02    2.91068e-04
1326.355    1.79532e-02    1.79424e-02    1.07774e-05
1331.926    9.89441e-03    9.98335e-03   -8.89377e-05
1337.483    1.23649e-02    1.23143e-02    5.05693e-05
1343.029    1.08947e-02    1.08170e-02    7.77176e-05
1348.562    1.91878e-03    1.89980e-03    1.89827e-05
1354.082    1.00953e-04    1.01312e-04   -3.59091e-07
1359.590    1.86896e-06    1.86129e-06    7.67351e-09
1365.086    6.80823e-07    6.86175e-07   -5.35190e-09
1370.570    8.31452e-06    8.44579e-06   -1.31267e-07
1376.042    5.42093e-05    5.42130e-05   -3.70183e-09
1381.502    2.26975e-06    2.31362e-06   -4.38715e-08
1386.950    2.78910e-05    2.73586e-05    5.32357e-07
1392.386    3.23873e-05    3.21728e-05    2.14533e-07
1397.810    4.28171e-05    4.30893e-05   -2.72160e-07
1403.223    8.63481e-05    8.80023e-05   -1.65418e-06
1408.624    2.20672e-04    2.24089e-04   -3.41702e-06
1414.014    7.15463e-04    7.22872e-04   -7.40931e-06
1419.392    1.24658e-03    1.23969e-03    6.88946e-06
1424.759    1.76291e-03    1.75384e-03    9.06816e-06
1430.115    2.04223e-03    2.02625e-03    1.59835e-05
1435.459    1.81163e-03    1.87072e-03   -5.90947e-05
1440.792    2.39293e-03    2.38387e-03    9.06471e-06
1446.114    2.78040e-03    2.74522e-03    3.51838e-05
1451.426    3.10259e-03    3.08368e-03    1.89118e-05
1456.726    5.47678e-03    5.51536e-03   -3.85847e-05
1462.016    4.60242e-03    4.57900e-03    2.34216e-05
1467.294    3.29281e-03    3.26316e-03    2.96457e-05
1472.562    4.12596e-03    4.17700e-03   -5.10416e-05
1477.820    5.10805e-03    5.06743e-03    4.06159e-05
1483.067    5.69465e-03    5.76331e-03   -6.86622e-05
1488.304    7.64672e-03    7.71743e-03   -7.07105e-05
1493.530    1.14862e-02    1.13004e-02    1.85754e-04
1498.746    1.36711e-02    1.37776e-02   -1.06471e-04
1503.952    1.35952e-02    1.35930e-02    2.22083e-06
1509.148    1.58556e-02    1.57767e-02    7.89366e-05
1514.333    1.63688e-02    1.64424e-02   -7.35686e-05
1519.509    1.75402e-02    1.75050e-02    3.52109e-05
1524.675    1.77159e-02    1.80154e-02   -2.99536e-04
1529.831    1.82428e-02    1.81269e-02    1.15908e-04
1534.978    1.85256e-02    1.85810e-02   -5.53803e-05
1540.114    1.87626e-02    1.87273e-02    3.52541e-05
1545.242    1.94099e-02    1.93142e-02    9.56604e-05
1550.360    1.96354e-02    1.92830e-02    3.52397e-04
1555.468    1.89807e-02    1.90514e-02   -7.07152e-05
1560.567    1.93922e-02    1.93535e-02    3.86788e-05
1565.657    1.85213e-02    1.88280e-02   -3.06721e-04
1570.738    1.80054e-02    1.80482e-02   -4.28176e-05
1575.809    1.73167e-02    1.74184e-02   -1.01742e-04
1580.872    1.84804e-02    1.82551e-02    2.25270e-04
1585.926    1.84567e-02    1.85443e-02   -8.75774e-05
1590.971    1.80377e-02    1.80413e-02   -3.55200e-06
1596.007    1.84575e-02    1.83577e-02    9.97933e-05
1601.035    1.74884e-02    1.76917e-02   -2.03281e-04
1606.054    1.76973e-02    1.78108e-02   -1.13508e-04
1611.064    1.74623e-02    1.74601e-02    2.16804e-06
1616.066    1.77335e-02    1.77987e-02   -6.51545e-05
1621.060    1.81733e-02    1.81429e-02    3.04087e-05
1626.045    1.85850e-02    1.86115e-02   -2.65109e-05
1631.023    1.84227e-02    1.83990e-02    2.37085e-05
1635.992    1.78604e-02    1.77457e-02    1.14709e-04
1640.954    1.67405e-02    1.68802e-02   -1.39740e-04
1645.907    1.73216e-02    1.72252e-02    9.64164e-05
1650.852    1.73273e-02    1.71920e-02    1.35323e-04
1655.790    1.72057e-02    1.72712e-02   -6.54661e-05
1660.720    1.72323e-02    1.72390e-02   -6.70004e-06
1665.643    1.66834e-02    1.68069e-02   -1.23531e-04
1670.558    1.69724e-02    1.68554e-02    1.17046e-04
1675.466    1.64275e-02    1.65942e-02   -1.66652e-04
1680.366    1.58949e-02    1.58552e-02    3.97052e-05
1685.259    1.61945e-02    1.62959e-02   -1.01448e-04
1690.145    1.59141e-02    1.60355e-02   -1.21440e-04
1695.024    1.62585e-02    1.60173e-02    2.41206e-04
1699.896    1.54549e-02    1.56320e-02   -1.77079e-04
1704.761    1.54759e-02    1.53253e-02    1.50565e-04
1709.619    1.48065e-02    1.48690e-02   -6.24849e-05
1714.471    1.51321e-02    1.49634e-02    1.68662e-04
1719.315    1.44520e-02    1.45110e-02   -5.90312e-05
1724.153    1.40402e-02    1.38949e-02    1.45266e-04
1728.985    1.41368e-02    1.41223e-02    1.44640e-05
1733.811    1.28628e-02    1.28825e-02   -1.97089e-05
1738.630    1.25081e-02    1.24869e-02    2.12151e-05
1743.442    1.23888e-02    1.23655e-02    2.32561e-05
1748.249    1.20729e-02    1.21228e-02   -4.98506e-05
1753.050    1.17954e-02    1.19013e-02   -1.05931e-04
1757.844    1.17740e-02    1.17321e-02    4.19231e-05
1762.633    1.09372e-02    1.09206e-02    1.66025e-05
1767.416    1.04199e-02    1.03082e-02    1.11717e-04
1772.193    9.62445e-03    9.77663e-03   -1.52183e-04
1776.965    8.16904e-03    8.20722e-03   -3.81837e-05
1781.731    7.33627e-03    7.36588e-03   -2.96075e-05
1786.492    7.06014e-03    6.99736e-03    6.27795e-05
1791.247    5.61261e-03    5.67595e-03   -6.33375e-05
1795.997    3.78978e-03    3.80600e-03   -1.62225e-05
1800.742    2.14943e-03    2.13851e-03    1.09194e-05
1805.481    1.39554e-03    1.39462e-03    9.17585e-07
1810.216    6.82982e-04    6.82004e-04    9.78337e-07
1814.946    2.67480e-04    2.68041e-04   -5.61304e-07
1819.671    1.02625e-04    1.02531e-04    9.39384e-08
1824.391    4.77343e-05    4.78833e-05   -1.49050e-07
1829.106    6.93847e-06    7.04748e-06   -1.09009e-07
1833.817    7.50651e-07    7.43433e-07    7.21847e-09
1838.524    1.23373e-07    1.23396e-07   -2.31720e-11
1843.226    4.00287e-07    4.00585e-07   -2.98255e-10
1847.924    2.55240e-07    2.57199e-07   -1.95893e-09
1852.617    2.22360e-07    2.26762e-07   -4.40197e-09
1857.307    4.12772e-07    4.16776e-07   -4.00384e-09
1861.992    1.62923e-06    1.60434e-06    2.48901e-08
1866.673    5.95445e-07    5.97904e-07   -2.45883e-09
1871.351    2.03740e-08    2.03809e-08   -6.93463e-12
1876.025    5.27998e-07    5.36470e-07   -8.47209e-09
1880.695    4.63137e-06    4.64411e-06   -1.27446e-08
1885.361    8.87406e-06    8.90575e-06   -3.16907e-08
1890.024    6.55767e-06    6.56612e-06   -8.45365e-09
1894.684    3.34754e-06    3.36427e-06   -1.67263e-08
1899.340    7.60117e-07    7.69793e-07   -9.67582e-09
1903.993    5.82370e-07    5.83677e-07   -1.30734e-09
1908.643    1.40991e-06    1.40632e-06    3.58699e-09
1913.290    3.00284e-06    2.96185e-06    4.09928e-08
1917.934    1.15936e-05    1.16171e-05   -2.35236e-08
1922.575    2.83765e-05    2.77518e-05    6.24655e-07
1927.213    4.37320e-05    4.36232e-05    1.08801e-07
1931.849    8.78536e-05    8.70125e-05    8.41064e-07
1936.481    1.64505e-04    1.62094e-04    2.41121e-06
1941.112    2.65856e-04    2.64635e-04    1.22123e-06
1945.740    3.92056e-04    3.90086e-04    1.97034e-06
1950.366    5.41853e-04    5.48299e-04   -6.44582e-06
1954.989    5.99266e-04    6.03483e-04   -4.21671e-06
1959.610    7.94307e-04    7.80490e-04    1.38167e-05
1964.229    1.23423e-03    1.21146e-03    2.27701e-05
1968.847    1.72234e-03    1.70783e-03    1.45075e-05
1973.462    2.05266e-03    2.02071e-03    3.19456e-05
1978.076    2.36208e-03    2.32770e-03    3.43825e-05
1982.688    2.60929e-03    2.62712e-03   -1.78341e-05
1987.298    2.79716e-03    2.78918e-03    7.97605e-06
1991.907    2.83495e-03    2.86793e-03   -3.29759e-05
