    lambda          Rad_up_meas                   sy           Rad_up_mod             Kmat_tau            Kmat_reff
   630.512         9.533010e-02         8.179045e-06         1.616914e-01         1.551684e-02        -1.562707e-03
   631.338         9.525450e-02         8.166078e-06         1.612334e-01         1.547160e-02        -1.562487e-03
   632.164         9.311120e-02         7.802726e-06         1.611570e-01         1.546289e-02        -1.564431e-03
   632.991         9.551860e-02         8.211423e-06         1.615837e-01         1.550057e-02        -1.570222e-03
   633.817         9.539020e-02         8.189361e-06         1.620308e-01         1.553880e-02        -1.575729e-03
   634.643         9.501400e-02         8.124894e-06         1.621160e-01         1.554233e-02        -1.577846e-03
   635.470         9.544600e-02         8.198945e-06         1.620898e-01         1.553562e-02        -1.579329e-03
   636.296         9.479510e-02         8.087500e-06         1.624709e-01         1.556830e-02        -1.585109e-03
   637.122         9.664600e-02         8.406404e-06         1.633014e-01         1.564469e-02        -1.595268e-03
   637.948         9.633920e-02         8.353117e-06         1.639447e-01         1.570407e-02        -1.603282e-03
   638.775         9.257070e-02         7.712401e-06         1.638062e-01         1.568892e-02        -1.603014e-03
   639.601         9.667000e-02         8.410580e-06         1.630278e-01         1.561230e-02        -1.595404e-03
   640.427         9.318930e-02         7.815821e-06         1.622331e-01         1.553488e-02        -1.586227e-03
   641.253         9.473430e-02         8.077129e-06         1.618230e-01         1.549665e-02        -1.579585e-03
   642.079         9.469210e-02         8.069934e-06         1.617451e-01         1.549333e-02        -1.575626e-03
   642.905         9.534530e-02         8.181654e-06         1.616975e-01         1.549608e-02        -1.572119e-03
   643.732         9.267020e-02         7.728989e-06         1.613103e-01         1.547022e-02        -1.565923e-03
   644.558         9.309960e-02         7.800782e-06         1.603135e-01         1.539179e-02        -1.554660e-03
   645.384         9.481910e-02         8.091596e-06         1.587786e-01         1.526880e-02        -1.538979e-03
   646.210         9.173430e-02         7.573664e-06         1.572095e-01         1.514646e-02        -1.523219e-03
   647.036         8.812540e-02         6.989478e-06         1.561250e-01         1.506720e-02        -1.511533e-03
   647.862         8.916210e-02         7.154892e-06         1.555450e-01         1.502535e-02        -1.503514e-03
   648.688         9.029310e-02         7.337560e-06         1.551506e-01         1.498730e-02        -1.496244e-03
   649.514         9.008900e-02         7.304425e-06         1.549279e-01         1.495625e-02        -1.490656e-03
   650.340         8.964280e-02         7.232248e-06         1.552318e-01         1.497560e-02        -1.491573e-03
   651.166         9.080460e-02         7.420928e-06         1.560722e-01         1.505196e-02        -1.499722e-03
   651.992         9.070520e-02         7.404690e-06         1.568746e-01         1.512812e-02        -1.509025e-03
   652.818         9.152220e-02         7.538682e-06         1.568582e-01         1.512589e-02        -1.511130e-03
   653.644         8.996970e-02         7.285092e-06         1.551824e-01         1.496534e-02        -1.497526e-03
   654.470         8.790620e-02         6.954750e-06         1.514188e-01         1.460602e-02        -1.463775e-03
   655.296         8.514920e-02         6.525348e-06         1.466969e-01         1.415360e-02        -1.420352e-03
   656.122         8.252960e-02         6.130021e-06         1.437530e-01         1.386785e-02        -1.393508e-03
   656.948         8.379710e-02         6.319759e-06         1.446190e-01         1.394373e-02        -1.403146e-03
   657.774         8.605650e-02         6.665149e-06         1.484756e-01         1.430434e-02        -1.441732e-03
   658.599         8.848190e-02         7.046142e-06         1.527490e-01         1.470437e-02        -1.484507e-03
   659.425         9.070850e-02         7.405229e-06         1.558082e-01         1.498808e-02        -1.515580e-03
   660.251         9.167540e-02         7.563941e-06         1.576403e-01         1.515452e-02        -1.534668e-03
   661.077         9.273830e-02         7.740353e-06         1.587260e-01         1.525090e-02        -1.546405e-03
   661.903         9.258660e-02         7.715051e-06         1.592076e-01         1.529237e-02        -1.552344e-03
   662.728         9.316110e-02         7.811091e-06         1.590724e-01         1.527787e-02        -1.552608e-03
   663.554         9.239000e-02         7.682321e-06         1.585821e-01         1.523074e-02        -1.549780e-03
   664.380         9.218390e-02         7.648084e-06         1.581775e-01         1.519136e-02        -1.547882e-03
   665.206         9.227420e-02         7.663075e-06         1.580281e-01         1.517540e-02        -1.548256e-03
   666.031         9.217250e-02         7.646193e-06         1.579646e-01         1.516717e-02        -1.549183e-03
   666.857         9.190350e-02         7.601628e-06         1.578892e-01         1.515772e-02        -1.549830e-03
   667.683         9.230580e-02         7.668325e-06         1.579185e-01         1.515853e-02        -1.551431e-03
   668.508         9.207950e-02         7.630771e-06         1.580261e-01         1.516802e-02        -1.553840e-03
   669.334         9.200410e-02         7.618279e-06         1.579270e-01         1.515970e-02        -1.554578e-03
  1503.952         1.196380e-02         1.288193e-07         1.867308e-02         1.357239e-03        -9.517125e-04
  1509.148         1.377260e-02         1.707161e-07         2.128010e-02         1.553860e-03        -1.051121e-03
  1514.333         1.430890e-02         1.842702e-07         2.200592e-02         1.619194e-03        -1.058711e-03
  1519.509         1.498040e-02         2.019711e-07         2.319199e-02         1.730703e-03        -1.089450e-03
  1524.675         1.536720e-02         2.125358e-07         2.371396e-02         1.771744e-03        -1.082148e-03
  1529.831         1.552840e-02         2.170181e-07         2.380482e-02         1.800199e-03        -1.058411e-03
  1534.978         1.610830e-02         2.335296e-07         2.434190e-02         1.872033e-03        -1.063482e-03
  1540.114         1.610790e-02         2.335180e-07         2.445419e-02         1.890312e-03        -1.045700e-03
  1545.242         1.621430e-02         2.366132e-07         2.518705e-02         1.965212e-03        -1.050178e-03
  1550.360         1.649670e-02         2.449270e-07         2.511603e-02         1.974385e-03        -1.021250e-03
  1555.468         1.586010e-02         2.263885e-07         2.482967e-02         1.971724e-03        -9.957566e-04
  1560.567         1.618130e-02         2.356510e-07         2.520133e-02         2.003804e-03        -9.946293e-04
  1565.657         1.571180e-02         2.221746e-07         2.459021e-02         1.975078e-03        -9.595232e-04
  1570.738         1.527970e-02         2.101223e-07         2.365460e-02         1.908047e-03        -9.110862e-04
  1575.809         1.458490e-02         1.914474e-07         2.280209e-02         1.843365e-03        -8.690693e-04
  1580.872         1.540830e-02         2.136741e-07         2.391408e-02         1.956662e-03        -9.061111e-04
  1585.926         1.540430e-02         2.135632e-07         2.424367e-02         1.994402e-03        -9.070123e-04
  1590.971         1.507280e-02         2.044704e-07         2.358218e-02         1.947920e-03        -8.705115e-04
  1596.007         1.530140e-02         2.107196e-07         2.403619e-02         1.990831e-03        -8.796761e-04
  1601.035         1.461110e-02         1.921358e-07         2.321203e-02         1.925883e-03        -8.446939e-04
  1606.054         1.482120e-02         1.977012e-07         2.331448e-02         1.929706e-03        -8.460551e-04
  1611.064         1.446870e-02         1.884090e-07         2.288174e-02         1.909050e-03        -8.189484e-04
  1616.066         1.469400e-02         1.943223e-07         2.330640e-02         1.958351e-03        -8.315445e-04
  1621.060         1.517540e-02         2.072635e-07         2.368116e-02         1.986028e-03        -8.384915e-04
  1626.045         1.556060e-02         2.179190e-07         2.426559e-02         2.031716e-03        -8.571995e-04
  1631.023         1.525790e-02         2.095232e-07         2.402207e-02         2.018802e-03        -8.370436e-04
  1635.992         1.465650e-02         1.933317e-07         2.324334e-02         1.972069e-03        -8.154492e-04
  1640.954         1.402010e-02         1.769069e-07         2.217036e-02         1.895137e-03        -7.795489e-04
  1645.907         1.412320e-02         1.795183e-07         2.259393e-02         1.913746e-03        -7.881968e-04
  1650.852         1.413410e-02         1.797955e-07         2.257124e-02         1.915740e-03        -7.845493e-04
  1655.790         1.432670e-02         1.847289e-07         2.267698e-02         1.927397e-03        -7.873168e-04
