  lambda             Irr_dw             Rad_up
 550.000   1.5431360000e+00   1.8781248470e-01
 551.000   1.5328806000e+00   1.8651579280e-01
 552.000   1.5982604000e+00   1.9448135380e-01
 553.000   1.5350510000e+00   1.8672747800e-01
 554.000   1.5846097000e+00   1.9275262450e-01
 555.000   1.5884893000e+00   1.9314366150e-01
 556.000   1.5441696000e+00   1.8767935180e-01
 557.000   1.4978656000e+00   1.8205151370e-01
 558.000   1.5542710000e+00   1.8882856750e-01
 559.000   1.4686813000e+00   1.7838793950e-01
 560.000   1.4747120000e+00   1.7911326600e-01
 561.000   1.6203222000e+00   1.9671746830e-01
 562.000   1.4869335000e+00   1.8048182680e-01
 563.000   1.5552618000e+00   1.8869689940e-01
 564.000   1.5329838000e+00   1.8587707520e-01
 565.000   1.5508516000e+00   1.8800675960e-01
 566.000   1.4295227000e+00   1.7322985840e-01
 567.000   1.5329986000e+00   1.8554884340e-01
 568.000   1.5284251000e+00   1.8433755490e-01
 569.000   1.4966982000e+00   1.7911482240e-01
 570.000   1.5043669000e+00   1.8021278380e-01
 571.000   1.4514382000e+00   1.7480245970e-01
 572.000   1.5331829000e+00   1.8370683290e-01
 573.000   1.5493370000e+00   1.8589617920e-01
 574.000   1.5406498000e+00   1.8488789370e-01
 575.000   1.5027119000e+00   1.8022520450e-01
 576.000   1.4752287000e+00   1.7687146000e-01
 577.000   1.5364144000e+00   1.8440142820e-01
 578.000   1.4916539000e+00   1.7939791870e-01
 579.000   1.4802383000e+00   1.7817660520e-01
 580.000   1.5311743000e+00   1.8448484800e-01
 581.000   1.5035238000e+00   1.8138052370e-01
 582.000   1.5259535000e+00   1.8410617070e-01
 583.000   1.5364103000e+00   1.8539921570e-01
 584.000   1.5313525000e+00   1.8470803830e-01
 585.000   1.5210847000e+00   1.8338749690e-01
 586.000   1.4555452000e+00   1.7546255490e-01
 587.000   1.5121350000e+00   1.8170147710e-01
 588.000   1.4957921000e+00   1.7783824160e-01
 589.000   1.3253650000e+00   1.5517831420e-01
 590.000   1.3837183000e+00   1.6185327150e-01
 591.000   1.4704819000e+00   1.7368284610e-01
 592.000   1.4420530000e+00   1.6933245850e-01
 593.000   1.4574578000e+00   1.7307014470e-01
 594.000   1.4705871000e+00   1.7415931700e-01
 595.000   1.4421586000e+00   1.6937521360e-01
 596.000   1.4781080000e+00   1.7560786440e-01
 597.000   1.4824002000e+00   1.7561062620e-01
 598.000   1.4521187000e+00   1.7286967470e-01
 599.000   1.4524948000e+00   1.7326173400e-01
 600.000   1.4529027000e+00   1.7410127260e-01
 601.000   1.4447715000e+00   1.7370187380e-01
 602.000   1.4289667000e+00   1.7196205140e-01
 603.000   1.4375784000e+00   1.7320689390e-01
 604.000   1.4830961000e+00   1.7888102720e-01
 605.000   1.4792616000e+00   1.7841578670e-01
 606.000   1.4620601000e+00   1.7639547730e-01
 607.000   1.4537794000e+00   1.7537985230e-01
 608.000   1.4483821000e+00   1.7468959050e-01
 609.000   1.4334543000e+00   1.7289765930e-01
 610.000   1.4104339000e+00   1.7008242800e-01
 611.000   1.4332687000e+00   1.7283357240e-01
 612.000   1.4145421000e+00   1.7057740780e-01
 613.000   1.3938112000e+00   1.6804452510e-01
 614.000   1.3429490000e+00   1.6192411800e-01
 615.000   1.4077517000e+00   1.6968167110e-01
 616.000   1.3384375000e+00   1.6134231570e-01
 617.000   1.3459373000e+00   1.6223843380e-01
 618.000   1.4093755000e+00   1.6981198120e-01
 619.000   1.3964030000e+00   1.6827188110e-01
 620.000   1.4169655000e+00   1.7067094420e-01
 621.000   1.4412637000e+00   1.7356399540e-01
 622.000   1.3651801000e+00   1.6433787540e-01
 623.000   1.3757493000e+00   1.6548759460e-01
 624.000   1.3771569000e+00   1.6565850830e-01
 625.000   1.3397904000e+00   1.6112556460e-01
 626.000   1.3464996000e+00   1.6173818970e-01
 627.000   1.3688359000e+00   1.6372676090e-01
 628.000   1.3500134000e+00   1.6019407650e-01
 629.000   1.3840932000e+00   1.6465951540e-01
 630.000   1.3382044000e+00   1.5977095030e-01
 631.000   1.3873569000e+00   1.6581698610e-01
 632.000   1.2921753000e+00   1.5392796330e-01
 633.000   1.3871637000e+00   1.6589213560e-01
 634.000   1.3455168000e+00   1.6112191770e-01
 635.000   1.3700903000e+00   1.6405683900e-01
 636.000   1.3218178000e+00   1.5839547730e-01
 637.000   1.3654221000e+00   1.6369934080e-01
 638.000   1.3867085000e+00   1.6655172730e-01
 639.000   1.3752256000e+00   1.6510382080e-01
 640.000   1.3320783000e+00   1.6015696720e-01
 641.000   1.3512856000e+00   1.6243865970e-01
 642.000   1.3350598000e+00   1.6058142090e-01
 643.000   1.3583375000e+00   1.6313533020e-01
 644.000   1.3427326000e+00   1.6120120240e-01
 645.000   1.3543646000e+00   1.6228761290e-01
 646.000   1.3024989000e+00   1.5468467710e-01
 647.000   1.3200049000e+00   1.5581286620e-01
 648.000   1.3174979000e+00   1.5458924870e-01
 649.000   1.3437237000e+00   1.5842167660e-01
 650.000   1.2454130300e+00   1.4838787840e-01
 651.000   1.3415206000e+00   1.5982575990e-01
 652.000   1.3153943000e+00   1.5525547790e-01
 653.000   1.3421692000e+00   1.6010090640e-01
 654.000   1.3245411000e+00   1.5773464970e-01
 655.000   1.2894974100e+00   1.5294331360e-01
 656.000   1.0947837000e+00   1.3000460820e-01
 657.000   1.1684887900e+00   1.3905068970e-01
 658.000   1.3016219500e+00   1.5550610350e-01
 659.000   1.3047956400e+00   1.5619615170e-01
 660.000   1.3150349700e+00   1.5757426450e-01
 661.000   1.3208813700e+00   1.5874316410e-01
 662.000   1.3399106000e+00   1.6122605900e-01
 663.000   1.3249878600e+00   1.5935084530e-01
 664.000   1.3039311500e+00   1.5687974550e-01
 665.000   1.3095937800e+00   1.5760192870e-01
 666.000   1.3253642200e+00   1.5962043760e-01
 667.000   1.2990501500e+00   1.5645397950e-01
 668.000   1.3064253100e+00   1.5746005250e-01
 669.000   1.3250485300e+00   1.5976043700e-01
 670.000   1.3094928300e+00   1.5783033750e-01
 671.000   1.2953149200e+00   1.5615525820e-01
 672.000   1.2911956700e+00   1.5565290830e-01
 673.000   1.3003968300e+00   1.5674797060e-01
 674.000   1.3028942700e+00   1.5705801390e-01
 675.000   1.2829915900e+00   1.5463291930e-01
 676.000   1.3071906200e+00   1.5755883790e-01
 677.000   1.2811657000e+00   1.5443449400e-01
 678.000   1.3023517500e+00   1.5697169490e-01
 679.000   1.2839399700e+00   1.5471031190e-01
 680.000   1.2740491000e+00   1.5346542360e-01
 681.000   1.2753771100e+00   1.5355178830e-01
 682.000   1.2727064500e+00   1.5317314150e-01
 683.000   1.2810263400e+00   1.5409976200e-01
 684.000   1.2578472000e+00   1.5122174070e-01
 685.000   1.2720390800e+00   1.5297702030e-01
 686.000   1.2159999200e+00   1.4595436100e-01
 687.000   1.1241171200e+00   1.3062199400e-01
 688.000   1.1540612200e+00   1.3550398250e-01
 689.000   1.1485461300e+00   1.3444012450e-01
 690.000   1.1691659700e+00   1.3760618590e-01
 691.000   1.1929212600e+00   1.4114041140e-01
 692.000   1.1960155800e+00   1.4155122380e-01
 693.000   1.1949448800e+00   1.3955825810e-01
 694.000   1.1969642100e+00   1.3816090390e-01
 695.000   1.1840995600e+00   1.3747097780e-01
 696.000   1.2025590700e+00   1.4012873840e-01
