  lambda           Irr_dw           Rad_up
 550.000 1.5494326000e+00 2.2192097470e-01
 551.000 1.5391004000e+00 2.2041639710e-01
 552.000 1.6047073000e+00 2.2983609010e-01
 553.000 1.5412083000e+00 2.2070619200e-01
 554.000 1.5909283000e+00 2.2783815000e-01
 555.000 1.5947887000e+00 2.2833999630e-01
 556.000 1.5502599000e+00 2.2191717530e-01
 557.000 1.5037376000e+00 2.1527000430e-01
 558.000 1.5603306000e+00 2.2332206730e-01
 559.000 1.4743733000e+00 2.1099812320e-01
 560.000 1.4803930000e+00 2.1186589050e-01
 561.000 1.6265285000e+00 2.3271963500e-01
 562.000 1.4925895000e+00 2.1351829530e-01
 563.000 1.5611429000e+00 2.2326400760e-01
 564.000 1.5387459000e+00 2.1996832280e-01
 565.000 1.5566391000e+00 2.2249023440e-01
 566.000 1.4348246000e+00 2.0502774050e-01
 567.000 1.5386327000e+00 2.1964842220e-01
 568.000 1.5339351000e+00 2.1828153990e-01
 569.000 1.5019455000e+00 2.1223617550e-01
 570.000 1.5096263000e+00 2.1353923030e-01
 571.000 1.4565640000e+00 2.0706481930e-01
 572.000 1.5384778000e+00 2.1769831850e-01
 573.000 1.5546761000e+00 2.2028324890e-01
 574.000 1.5459329000e+00 2.1910543820e-01
 575.000 1.5078287000e+00 2.1360903930e-01
 576.000 1.4802210000e+00 2.0965322880e-01
 577.000 1.5416045000e+00 2.1858695980e-01
 578.000 1.4967050000e+00 2.1262577820e-01
 579.000 1.4852543000e+00 2.1119537350e-01
 580.000 1.5363599000e+00 2.1865228270e-01
 581.000 1.5086304000e+00 2.1497200010e-01
 582.000 1.5311346000e+00 2.1823744200e-01
 583.000 1.5416071000e+00 2.1976637270e-01
 584.000 1.5365144000e+00 2.1898718260e-01
 585.000 1.5261892000e+00 2.1745176700e-01
 586.000 1.4604065000e+00 2.0806584170e-01
 587.000 1.5171220000e+00 2.1554565430e-01
 588.000 1.5005522000e+00 2.1112236020e-01
 589.000 1.3294128000e+00 1.8440872190e-01
 590.000 1.3879152000e+00 1.9235464480e-01
 591.000 1.4750236000e+00 2.0631481930e-01
 592.000 1.4464303000e+00 2.0125088500e-01
 593.000 1.4619867000e+00 2.0557893370e-01
 594.000 1.4751028000e+00 2.0691836550e-01
 595.000 1.4464786000e+00 2.0135493470e-01
 596.000 1.4826420000e+00 2.0863525390e-01
 597.000 1.4868968000e+00 2.0871195980e-01
 598.000 1.4565593000e+00 2.0540475460e-01
 599.000 1.4569412000e+00 2.0586483760e-01
 600.000 1.4573917000e+00 2.0681695560e-01
 601.000 1.4492572000e+00 2.0629637150e-01
 602.000 1.4334014000e+00 2.0423593140e-01
 603.000 1.4420375000e+00 2.0569746400e-01
 604.000 1.4876902000e+00 2.1241221620e-01
 605.000 1.4838313000e+00 2.1188629150e-01
 606.000 1.4665572000e+00 2.0947718810e-01
 607.000 1.4582322000e+00 2.0828645320e-01
 608.000 1.4527994000e+00 2.0748887630e-01
 609.000 1.4378054000e+00 2.0536181640e-01
 610.000 1.4146968000e+00 2.0203697200e-01
 611.000 1.4375806000e+00 2.0531997680e-01
 612.000 1.4187781000e+00 2.0265090940e-01
 613.000 1.3979659000e+00 1.9966500850e-01
 614.000 1.3469323000e+00 1.9239888000e-01
 615.000 1.4119081000e+00 2.0164723210e-01
 616.000 1.3423705000e+00 1.9174121090e-01
 617.000 1.3498725000e+00 1.9281962590e-01
 618.000 1.4134763000e+00 2.0185696410e-01
 619.000 1.4004432000e+00 2.0002349850e-01
 620.000 1.4210451000e+00 2.0291270450e-01
 621.000 1.4453898000e+00 2.0637496950e-01
 622.000 1.3690654000e+00 1.9543673710e-01
 623.000 1.3796424000e+00 1.9685580440e-01
 624.000 1.3810297000e+00 1.9706520080e-01
 625.000 1.3435343000e+00 1.9169270320e-01
 626.000 1.3502326000e+00 1.9247540280e-01
 627.000 1.3725498000e+00 1.9492269900e-01
 628.000 1.3534711000e+00 1.9083151250e-01
 629.000 1.3877145000e+00 1.9616094970e-01
 630.000 1.3417214000e+00 1.9029866030e-01
 631.000 1.3910230000e+00 1.9751216130e-01
 632.000 1.2955517000e+00 1.8339118960e-01
 633.000 1.3908345000e+00 1.9761624150e-01
 634.000 1.3490839000e+00 1.9191902160e-01
 635.000 1.3737075000e+00 1.9541668700e-01
 636.000 1.3253054000e+00 1.8866976930e-01
 637.000 1.3690184000e+00 1.9498501590e-01
 638.000 1.3903771000e+00 1.9837294010e-01
 639.000 1.3788518000e+00 1.9668301390e-01
 640.000 1.3355909000e+00 1.9075466920e-01
 641.000 1.3548339000e+00 1.9348425290e-01
 642.000 1.3385622000e+00 1.9127644350e-01
 643.000 1.3618643000e+00 1.9434474180e-01
 644.000 1.3462048000e+00 1.9206810000e-01
 645.000 1.3578269000e+00 1.9338409420e-01
 646.000 1.3057250000e+00 1.8445429990e-01
 647.000 1.3232099000e+00 1.8588940430e-01
 648.000 1.3206313000e+00 1.8448588560e-01
 649.000 1.3469537000e+00 1.8903648380e-01
 650.000 1.2484826700e+00 1.7695315550e-01
 651.000 1.3448113000e+00 1.9058883670e-01
 652.000 1.3185233000e+00 1.8523564150e-01
 653.000 1.3454472000e+00 1.9089312740e-01
 654.000 1.3277491000e+00 1.8810604860e-01
 655.000 1.2925701000e+00 1.8243309020e-01
 656.000 1.0973911300e+00 1.5506068420e-01
 657.000 1.1712766300e+00 1.6582266240e-01
 658.000 1.3047504000e+00 1.8538241580e-01
 659.000 1.3079414000e+00 1.8618356320e-01
 660.000 1.3182017000e+00 1.8780685420e-01
 661.000 1.3240799000e+00 1.8916221620e-01
 662.000 1.3431581000e+00 1.9211001590e-01
 663.000 1.3281812000e+00 1.8989717100e-01
 664.000 1.3070658000e+00 1.8695477290e-01
 665.000 1.3127332000e+00 1.8782287600e-01
 666.000 1.3285330000e+00 1.9020857240e-01
 667.000 1.3021487100e+00 1.8645745850e-01
 668.000 1.3095334400e+00 1.8763943480e-01
 669.000 1.3281898000e+00 1.9037454220e-01
 670.000 1.3125866500e+00 1.8810682680e-01
 671.000 1.2983635000e+00 1.8610809330e-01
 672.000 1.2942224800e+00 1.8552078250e-01
 673.000 1.3034341600e+00 1.8683976750e-01
 674.000 1.3059246800e+00 1.8721319580e-01
 675.000 1.2859649100e+00 1.8434199520e-01
 676.000 1.3102074000e+00 1.8783381650e-01
 677.000 1.2841100400e+00 1.8411119080e-01
 678.000 1.3053332600e+00 1.8715048220e-01
 679.000 1.2868672800e+00 1.8447293090e-01
 680.000 1.2769358600e+00 1.8299681090e-01
 681.000 1.2782480900e+00 1.8311349490e-01
 682.000 1.2755583500e+00 1.8268553160e-01
 683.000 1.2838816500e+00 1.8381222530e-01
 684.000 1.2606270200e+00 1.8038081360e-01
 685.000 1.2748463500e+00 1.8248712160e-01
 686.000 1.2186425300e+00 1.7416542050e-01
 687.000 1.1262060700e+00 1.5609587100e-01
 688.000 1.1562701200e+00 1.6187466430e-01
 689.000 1.1507102000e+00 1.6060589600e-01
 690.000 1.1714004000e+00 1.6436036680e-01
 691.000 1.1952544100e+00 1.6855648800e-01
 692.000 1.1983808500e+00 1.6905534360e-01
 693.000 1.1972504300e+00 1.6682449340e-01
 694.000 1.1992155600e+00 1.6524734500e-01
 695.000 1.1863515000e+00 1.6439280700e-01
 696.000 1.2048603200e+00 1.6755027770e-01
 697.000 1.2280677400e+00 1.7397036740e-01
 698.000 1.2007819300e+00 1.6937635800e-01
 699.000 1.2039284700e+00 1.6700827030e-01
 700.000 1.1928117400e+00 1.6588562010e-01
 701.000 1.1618948600e+00 1.6096144100e-01
 702.000 1.1590557400e+00 1.6098979190e-01
 703.000 1.1907802300e+00 1.6766952510e-01
 704.000 1.1947398800e+00 1.6832798770e-01
 705.000 1.1973397000e+00 1.6771594240e-01
 706.000 1.1857734200e+00 1.6627642820e-01
 707.000 1.1700664100e+00 1.6442037960e-01
 708.000 1.2064362900e+00 1.6989712520e-01
 709.000 1.1683878400e+00 1.6528184510e-01
 710.000 1.1897020400e+00 1.6744244380e-01
 711.000 1.1831269600e+00 1.6733633420e-01
 712.000 1.1711377700e+00 1.6636395260e-01
 713.000 1.1623355600e+00 1.6452081300e-01
 714.000 1.1806906500e+00 1.6688125610e-01
 715.000 1.1333265100e+00 1.5924012760e-01
 716.000 1.1565429100e+00 1.6151818850e-01
 717.000 1.0837464300e+00 1.4606303410e-01
 718.000 1.0510305700e+00 1.3855976870e-01
 719.000 1.0291916200e+00 1.3454655460e-01
 720.000 1.0222420100e+00 1.3209658810e-01
 721.000 1.0837399200e+00 1.4744270320e-01
 722.000 1.1214846300e+00 1.5533776860e-01
 723.000 1.1060960300e+00 1.5162351990e-01
 724.000 1.0758470600e+00 1.4323609920e-01
 725.000 1.0693561500e+00 1.4296786500e-01
 726.000 1.0655314300e+00 1.4227568050e-01
 727.000 1.0863546600e+00 1.4564262390e-01
 728.000 1.0619298400e+00 1.4176208500e-01
 729.000 1.0328824800e+00 1.3942132570e-01
 730.000 1.0684540400e+00 1.4397135930e-01
 731.000 1.0478037400e+00 1.4091543580e-01
 732.000 1.0905154500e+00 1.4940330510e-01
 733.000 1.0953103400e+00 1.5283810420e-01
 734.000 1.1284414200e+00 1.5885697940e-01
 735.000 1.1154986100e+00 1.5653269960e-01
 736.000 1.0878918800e+00 1.5178964230e-01
 737.000 1.1071685800e+00 1.5513911440e-01
 738.000 1.1109547600e+00 1.5661878970e-01
 739.000 1.0777994900e+00 1.5236322020e-01
 740.000 1.0943100100e+00 1.5561590580e-01
 741.000 1.0891902200e+00 1.5546920780e-01
 742.000 1.0726989900e+00 1.5335815430e-01
 743.000 1.1075246000e+00 1.5887515260e-01
 744.000 1.1194162200e+00 1.6084008790e-01
 745.000 1.0913864300e+00 1.5701786800e-01
 746.000 1.1073976500e+00 1.5945906070e-01
 747.000 1.1240771200e+00 1.6187586980e-01
 748.000 1.1046396600e+00 1.5918244930e-01
 749.000 1.1051301700e+00 1.5931390380e-01
 750.000 1.0885429200e+00 1.5686122130e-01
 751.000 1.0857403300e+00 1.5647157290e-01
 752.000 1.1028572900e+00 1.5904936220e-01
 753.000 1.0925849600e+00 1.5760574340e-01
 754.000 1.1097885800e+00 1.6011668400e-01
 755.000 1.1034241700e+00 1.5921383670e-01
 756.000 1.0818318400e+00 1.5611312870e-01
 757.000 1.0897939800e+00 1.5727516170e-01
 758.000 1.0874860400e+00 1.5689053340e-01
 759.000 1.0047190600e+00 1.4258348080e-01
 760.000 5.1245927000e-01 6.1496665950e-02
 761.000 4.6287051000e-01 5.4237537380e-02
 762.000 7.3970089000e-01 9.7608871460e-02
 763.000 6.7092796000e-01 8.5699119570e-02
 764.000 7.1727309000e-01 9.3111839290e-02
 765.000 8.1945614000e-01 1.1029522710e-01
 766.000 8.8655395000e-01 1.2344579320e-01
 767.000 9.5033976000e-01 1.3433319090e-01
 768.000 1.0213831200e+00 1.4581068420e-01
 769.000 1.0390637700e+00 1.4931443790e-01
 770.000 1.0441478400e+00 1.5051152040e-01
 771.000 1.0497611600e+00 1.5159632870e-01
 772.000 1.0468333400e+00 1.5125361630e-01
 773.000 1.0429049900e+00 1.5073028560e-01
 774.000 1.0543919600e+00 1.5243383790e-01
 775.000 1.0149274300e+00 1.4676615910e-01
 776.000 1.0568211500e+00 1.5287551880e-01
 777.000 1.0494816600e+00 1.5182464600e-01
 778.000 1.0438183200e+00 1.5099920650e-01
 779.000 1.0471816900e+00 1.5147673030e-01
 780.000 1.0341880400e+00 1.4961917110e-01
 781.000 1.0325853400e+00 1.4942834470e-01
 782.000 1.0449950300e+00 1.5119622800e-01
 783.000 1.0205432700e+00 1.4769641110e-01
 784.000 1.0260969300e+00 1.4845930480e-01
 785.000 1.0279208400e+00 1.4850129700e-01
 786.000 1.0088745200e+00 1.4546272280e-01
 787.000 1.0207241500e+00 1.4646783450e-01
 788.000 1.0038024000e+00 1.4371131900e-01
 789.000 1.0038286100e+00 1.4252543640e-01
 790.000 9.9316350000e-01 1.4089939880e-01
 791.000 9.8912965000e-01 1.4056443790e-01
 792.000 9.7443301000e-01 1.3866912840e-01
 793.000 9.7575322000e-01 1.3933810420e-01
 794.000 9.7061211000e-01 1.3964021300e-01
 795.000 9.6233620000e-01 1.3779837040e-01
 796.000 9.7060656000e-01 1.3743553160e-01
 797.000 9.7901477000e-01 1.3910057070e-01
 798.000 9.8466131000e-01 1.4093753050e-01
 799.000 9.8267171000e-01 1.4040986630e-01
 800.000 9.5334392000e-01 1.3550292970e-01
 801.000 9.7156838000e-01 1.3819136050e-01
 802.000 9.6921731000e-01 1.3778144840e-01
 803.000 9.5592126000e-01 1.3601615910e-01
 804.000 9.6628711000e-01 1.3786949160e-01
 805.000 9.4310056000e-01 1.3523681640e-01
 806.000 9.7061756000e-01 1.3958517460e-01
 807.000 9.6469307000e-01 1.3877906800e-01
 808.000 9.5783964000e-01 1.3755816650e-01
 809.000 9.4015383000e-01 1.3474633790e-01
 810.000 9.3431890000e-01 1.3360920720e-01
 811.000 9.4589413000e-01 1.3467758180e-01
 812.000 9.3806625000e-01 1.3276237490e-01
 813.000 9.2819927000e-01 1.3039775090e-01
 814.000 9.1907614000e-01 1.2793563840e-01
 815.000 8.9928247000e-01 1.2375481410e-01
 816.000 8.7822566000e-01 1.1913941190e-01
 817.000 8.8427009000e-01 1.2003989410e-01
 818.000 8.7995798000e-01 1.1956946560e-01
 819.000 8.6042309000e-01 1.1751017760e-01
 820.000 8.5796682000e-01 1.1905977630e-01
 821.000 9.0319598000e-01 1.2764949800e-01
 822.000 8.6528610000e-01 1.2056751250e-01
 823.000 8.4119241000e-01 1.1286735530e-01
 824.000 8.8452743000e-01 1.2253871150e-01
 825.000 9.0233233000e-01 1.2774378200e-01
 826.000 9.0465693000e-01 1.2760421750e-01
 827.000 8.9926729000e-01 1.2649588780e-01
 828.000 8.8487510000e-01 1.2275053410e-01
 829.000 8.8892651000e-01 1.2392021180e-01
 830.000 8.7972452000e-01 1.2333963010e-01
 831.000 8.6536320000e-01 1.2149526210e-01
 832.000 8.8349836000e-01 1.2412319180e-01
 833.000 8.5868542000e-01 1.2108061980e-01
 834.000 8.7447406000e-01 1.2380419160e-01
 835.000 8.8185951000e-01 1.2578966520e-01
 836.000 8.9027531000e-01 1.2673887630e-01
 837.000 8.8266924000e-01 1.2562103270e-01
 838.000 8.8847788000e-01 1.2694819640e-01
 839.000 8.6222811000e-01 1.2348204800e-01
 840.000 8.8582402000e-01 1.2695513920e-01
 841.000 8.8660105000e-01 1.2674920650e-01
 842.000 8.8235630000e-01 1.2642523960e-01
 843.000 8.7932444000e-01 1.2672534940e-01
 844.000 8.6603548000e-01 1.2513709260e-01
 845.000 8.7975065000e-01 1.2727683260e-01
 846.000 8.8815912000e-01 1.2868432620e-01
 847.000 8.5814513000e-01 1.2453790280e-01
 848.000 8.8237131000e-01 1.2775567630e-01
 849.000 8.8409413000e-01 1.2808201600e-01
 850.000 7.6395134000e-01 1.1052937320e-01
 851.000 8.7464474000e-01 1.2636686710e-01
 852.000 8.4150645000e-01 1.2162705230e-01
 853.000 8.5203697000e-01 1.2339652250e-01
 854.000 6.8494746000e-01 9.9206954960e-02
 855.000 7.5431142000e-01 1.0940028380e-01
 856.000 8.5656936000e-01 1.2448986050e-01
 857.000 8.7047663000e-01 1.2667818450e-01
 858.000 8.5663065000e-01 1.2472410580e-01
 859.000 8.5671502000e-01 1.2488155360e-01
 860.000 8.4914993000e-01 1.2387136080e-01
 861.000 8.4903569000e-01 1.2386920170e-01
 862.000 8.4625782000e-01 1.2348460390e-01
 863.000 8.6242395000e-01 1.2589762120e-01
 864.000 8.6069824000e-01 1.2562709050e-01
 865.000 8.4466098000e-01 1.2336399840e-01
 866.000 7.0849111000e-01 1.0350740810e-01
 867.000 7.5444993000e-01 1.1015528870e-01
 868.000 8.1822265000e-01 1.1951336670e-01
 869.000 8.0673314000e-01 1.1784916690e-01
 870.000 8.3999269000e-01 1.2275947570e-01
 871.000 8.3879805000e-01 1.2257769010e-01
 872.000 8.3541709000e-01 1.2202693180e-01
 873.000 8.3874677000e-01 1.2255892940e-01
 874.000 8.2034403000e-01 1.1984574130e-01
 875.000 8.1278774000e-01 1.1880566410e-01
 876.000 8.1951439000e-01 1.1974893190e-01
 877.000 8.3582992000e-01 1.2208483890e-01
 878.000 8.2140149000e-01 1.1994644170e-01
 879.000 8.2329672000e-01 1.2025089260e-01
 880.000 8.1846345000e-01 1.1942870330e-01
