  lambda             Irr_dw             Rad_up
 630.512   1.3470439323e+00   9.5564305493e-02
 631.338   1.3424169820e+00   9.5302775078e-02
 632.164   1.3410081254e+00   9.5265144050e-02
 632.991   1.3434961009e+00   9.5532136007e-02
 633.817   1.3460284448e+00   9.5817420622e-02
 634.643   1.3457364351e+00   9.5888984499e-02
 635.470   1.3447112659e+00   9.5891588572e-02
 636.296   1.3470813287e+00   9.6131636260e-02
 637.122   1.3531065140e+00   9.6633237333e-02
 637.948   1.3575817609e+00   9.7019906253e-02
 638.775   1.3556807502e+00   9.6943637230e-02
 639.601   1.3486217649e+00   9.6491503825e-02
 640.427   1.3416217319e+00   9.6028973810e-02
 641.253   1.3381131863e+00   9.5785753109e-02
 642.079   1.3377930550e+00   9.5726265738e-02
 642.905   1.3383117477e+00   9.5670412639e-02
 643.732   1.3369159359e+00   9.5395851880e-02
 644.558   1.3318435247e+00   9.4734907198e-02
 645.384   1.3238931081e+00   9.3725682886e-02
 646.210   1.3165459423e+00   9.2679682314e-02
 647.036   1.3124958171e+00   9.1935172268e-02
 647.862   1.3101308669e+00   9.1535701600e-02
 648.688   1.3060481460e+00   9.1303989551e-02
 649.514   1.3012963095e+00   9.1211483947e-02
 650.340   1.3011492513e+00   9.1428340065e-02
 651.166   1.3069476269e+00   9.1937038785e-02
 651.992   1.3131946092e+00   9.2407208243e-02
 652.818   1.3124398688e+00   9.2392109178e-02
 653.644   1.2979380743e+00   9.1393307423e-02
 654.470   1.2665567490e+00   8.9155493941e-02
 655.296   1.2272101050e+00   8.6357412250e-02
 656.122   1.2019047229e+00   8.4626884318e-02
 656.948   1.2073880319e+00   8.5163389897e-02
 657.774   1.2372244079e+00   8.7474829778e-02
 658.599   1.2704537452e+00   9.0033607008e-02
 659.425   1.2937272812e+00   9.1874789587e-02
 660.251   1.3069714133e+00   9.2990867933e-02
 661.077   1.3142873240e+00   9.3661939834e-02
 661.903   1.3170646831e+00   9.3965138024e-02
 662.728   1.3152528160e+00   9.3891511908e-02
 663.554   1.3108115943e+00   9.3601912910e-02
 664.380   1.3071392847e+00   9.3364363395e-02
 665.206   1.3055262340e+00   9.3281754734e-02
 666.031   1.3045855589e+00   9.3252541972e-02
 666.857   1.3035428310e+00   9.3217185234e-02
 667.683   1.3033969754e+00   9.3243509720e-02
 668.508   1.3039868237e+00   9.3312353346e-02
 669.334   1.3030063482e+00   9.3251971667e-02
1503.952   2.1135810477e-01   1.2572141863e-02
1509.148   2.2973615577e-01   1.4323420964e-02
1514.333   2.3101909969e-01   1.4778128443e-02
1519.509   2.3587666959e-01   1.5473302500e-02
1524.675   2.3613866275e-01   1.5825503238e-02
1529.831   2.3348733152e-01   1.5787175762e-02
1534.978   2.3509857400e-01   1.6006197133e-02
1540.114   2.3250890801e-01   1.6059979463e-02
1545.242   2.3653794257e-01   1.6474141844e-02
1550.360   2.3315822314e-01   1.6380064593e-02
1555.468   2.2880490345e-01   1.6115382896e-02
1560.567   2.3022538791e-01   1.6367869546e-02
1565.657   2.2404749094e-01   1.5896835443e-02
1570.738   2.1553830246e-01   1.5276811332e-02
1575.809   2.0624749843e-01   1.4720091077e-02
1580.872   2.1502068303e-01   1.5337122744e-02
1585.926   2.1558086242e-01   1.5516957793e-02
1590.971   2.0821973393e-01   1.5073287142e-02
1596.007   2.1191068710e-01   1.5353761575e-02
1601.035   2.0468035326e-01   1.4824796118e-02
1606.054   2.0404899734e-01   1.4928459065e-02
1611.064   1.9962730338e-01   1.4585160856e-02
1616.066   2.0207749529e-01   1.4798045132e-02
1621.060   2.0356654889e-01   1.5064600522e-02
1626.045   2.0762188762e-01   1.5443491425e-02
1631.023   2.0536542467e-01   1.5281652523e-02
1635.992   1.9925182693e-01   1.4712419956e-02
1640.954   1.9042269778e-01   1.3981136172e-02
1645.907   1.9321659305e-01   1.4329324449e-02
1650.852   1.9272315592e-01   1.4308485346e-02
1655.790   1.9323239977e-01   1.4370018363e-02
