  lambda           Irr_dw           Rad_up
 630.512 1.3504770942e+00 1.2226148422e-01
 631.338 1.3458420931e+00 1.2191608786e-01
 632.164 1.3444327825e+00 1.2185715093e-01
 632.991 1.3469310162e+00 1.2218257165e-01
 633.817 1.3494726080e+00 1.2252697241e-01
 634.643 1.3491794320e+00 1.2259780587e-01
 635.470 1.3481489179e+00 1.2258256304e-01
 636.296 1.3505223813e+00 1.2287353801e-01
 637.122 1.3565614725e+00 1.2350205834e-01
 637.948 1.3610469011e+00 1.2398663633e-01
 638.775 1.3591383404e+00 1.2387989530e-01
 639.601 1.3520562974e+00 1.2329121862e-01
 640.427 1.3450308290e+00 1.2269048282e-01
 641.253 1.3415028075e+00 1.2237641430e-01
 642.079 1.3411675349e+00 1.2230629791e-01
 642.905 1.3416684587e+00 1.2225059435e-01
 643.732 1.3402433782e+00 1.2192742659e-01
 644.558 1.3351228783e+00 1.2112769976e-01
 645.384 1.3271068255e+00 1.1990291490e-01
 646.210 1.3196907356e+00 1.1864221705e-01
 647.036 1.3155861095e+00 1.1775702965e-01
 647.862 1.3131882690e+00 1.1728184403e-01
 648.688 1.3090900376e+00 1.1698251365e-01
 649.514 1.3043344161e+00 1.1683621368e-01
 650.340 1.3041926796e+00 1.1708694822e-01
 651.166 1.3100007889e+00 1.1772791123e-01
 651.992 1.3162540233e+00 1.1833061853e-01
 652.818 1.3154909105e+00 1.1831409481e-01
 653.644 1.3009484522e+00 1.1704222357e-01
 654.470 1.2694836784e+00 1.1418986232e-01
 655.296 1.2300347337e+00 1.1061715559e-01
 656.122 1.2046646887e+00 1.0839785540e-01
 656.948 1.2101612364e+00 1.0906618051e-01
 657.774 1.2400714228e+00 1.1199853795e-01
 658.599 1.2733833769e+00 1.1524669206e-01
 659.425 1.2967156399e+00 1.1757836074e-01
 660.251 1.3099940357e+00 1.1898416356e-01
 661.077 1.3173285565e+00 1.1982498568e-01
 661.903 1.3201106888e+00 1.2020364223e-01
 662.728 1.3182892350e+00 1.2010913554e-01
 663.554 1.3138299771e+00 1.1974263057e-01
 664.380 1.3101408120e+00 1.1944174798e-01
 665.206 1.3085159271e+00 1.1933618684e-01
 666.031 1.3075652638e+00 1.1929709664e-01
 666.857 1.3065122301e+00 1.1924939781e-01
 667.683 1.3063576544e+00 1.1928051579e-01
 668.508 1.3069398838e+00 1.1936815353e-01
 669.334 1.3059477886e+00 1.1929460726e-01
1503.952 2.1135999996e-01 1.3559916989e-02
1509.148 2.2973942686e-01 1.5506556867e-02
1514.333 2.3102357337e-01 1.6065416099e-02
1519.509 2.3588291956e-01 1.6923066459e-02
1524.675 2.3614571317e-01 1.7337108148e-02
1529.831 2.3349560229e-01 1.7377450214e-02
1534.978 2.3510834454e-01 1.7729037630e-02
1540.114 2.3251968078e-01 1.7836728997e-02
1545.242 2.3655019446e-01 1.8368330692e-02
1550.360 2.3317139484e-01 1.8322840816e-02
1555.468 2.2881883914e-01 1.8094821488e-02
1560.567 2.3023996160e-01 1.8397327141e-02
1565.657 2.2406215991e-01 1.7930522392e-02
1570.738 2.1555231337e-01 1.7259623084e-02
1575.809 2.0626132618e-01 1.6648470305e-02
1580.872 2.1503604147e-01 1.7417460164e-02
1585.926 2.1559736115e-01 1.7660841586e-02
1590.971 2.0823617451e-01 1.7186372279e-02
1596.007 2.1192740604e-01 1.7523335695e-02
1601.035 2.0469613853e-01 1.6931912395e-02
1606.054 2.0406487514e-01 1.7039554929e-02
1611.064 1.9964332376e-01 1.6693120103e-02
1616.066 2.0209449102e-01 1.6977689209e-02
1621.060 2.0358410592e-01 1.7276865038e-02
1626.045 2.0763999111e-01 1.7713461857e-02
1631.023 2.0538318198e-01 1.7534428575e-02
1635.992 1.9926894751e-01 1.6922563813e-02
1640.954 1.9043905410e-01 1.6111101342e-02
1645.907 1.9323291585e-01 1.6471592248e-02
1650.852 1.9273940080e-01 1.6453736527e-02
1655.790 1.9324881562e-01 1.6528181465e-02
