 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 894.195  7.60510e-01  3.36241e-01  8.09720e-03  1.02444e-01  7.38870e-02  5.07576e-02  7.31228e-01  2.92820e-02  6.71918e-02  6.69522e-03
 900.842  6.67653e-01  2.59340e-01  6.92437e-03  8.00253e-02  6.40953e-02  3.83806e-02  6.44104e-01  2.35496e-02  5.91860e-02  4.90927e-03
 907.472  6.82225e-01  2.71658e-01  6.97294e-03  8.36714e-02  6.55823e-02  4.03445e-02  6.57572e-01  2.46522e-02  6.04236e-02  5.15867e-03
 914.084  6.64660e-01  2.56979e-01  6.66274e-03  7.93443e-02  6.37222e-02  3.80002e-02  6.41617e-01  2.30427e-02  5.89575e-02  4.76460e-03
 920.678  6.86995e-01  2.91347e-01  6.81411e-03  8.93265e-02  6.62742e-02  4.36267e-02  6.62870e-01  2.41244e-02  6.09104e-02  5.36378e-03
 927.255  6.47536e-01  2.55025e-01  6.28324e-03  7.87488e-02  6.20691e-02  3.77510e-02  6.25902e-01  2.16342e-02  5.75134e-02  4.55567e-03
 933.815  4.38156e-01  9.40327e-02  4.07793e-03  3.14606e-02  4.09978e-02  1.27842e-02  4.26278e-01  1.18779e-02  3.91702e-02  1.82761e-03
 940.358  5.46698e-01  1.71236e-01  5.05216e-03  5.44628e-02  5.16863e-02  2.43494e-02  5.30482e-01  1.62165e-02  4.87453e-02  2.94095e-03
 946.883  5.02647e-01  1.35995e-01  4.53176e-03  4.43363e-02  4.72920e-02  1.89056e-02  4.88561e-01  1.40857e-02  4.48933e-02  2.39873e-03
 953.391  5.24122e-01  1.59961e-01  4.67195e-03  5.11772e-02  4.95000e-02  2.26286e-02  5.09168e-01  1.49536e-02  4.67869e-02  2.71317e-03
 959.883  5.62523e-01  1.96577e-01  4.96993e-03  6.14787e-02  5.34125e-02  2.85021e-02  5.46050e-01  1.64728e-02  5.01759e-02  3.23661e-03
 966.357  5.88773e-01  2.28231e-01  5.14399e-03  7.04835e-02  5.61995e-02  3.37111e-02  5.71161e-01  1.76122e-02  5.24833e-02  3.71625e-03
 972.814  6.17808e-01  2.57294e-01  5.32519e-03  7.90097e-02  5.92201e-02  3.83915e-02  5.99086e-01  1.87213e-02  5.50493e-02  4.17078e-03
 979.255  6.19064e-01  2.64445e-01  5.25066e-03  8.10214e-02  5.94185e-02  3.95899e-02  6.00444e-01  1.86202e-02  5.51740e-02  4.24442e-03
 985.679  6.40557e-01  2.92965e-01  5.36972e-03  8.89495e-02  6.18473e-02  4.43930e-02  6.20894e-01  1.96637e-02  5.70531e-02  4.79416e-03
 992.086  6.41986e-01  3.00540e-01  5.30375e-03  9.09034e-02  6.21576e-02  4.58232e-02  6.22279e-01  1.97068e-02  5.71804e-02  4.97719e-03
 998.476  6.37200e-01  2.99672e-01  5.17132e-03  9.05890e-02  6.17005e-02  4.57429e-02  6.17924e-01  1.92760e-02  5.67802e-02  4.92025e-03
1004.850  6.06627e-01  2.83744e-01  4.82586e-03  8.58940e-02  5.86226e-02  4.32023e-02  5.88685e-01  1.79413e-02  5.40935e-02  4.52912e-03
1011.208  6.17658e-01  2.88541e-01  4.82121e-03  8.74000e-02  5.96224e-02  4.38916e-02  5.99803e-01  1.78550e-02  5.51151e-02  4.50728e-03
1017.548  6.07834e-01  2.86768e-01  4.66213e-03  8.67581e-02  5.87197e-02  4.37294e-02  5.90462e-01  1.73722e-02  5.42567e-02  4.46295e-03
1023.873  6.02158e-01  2.82633e-01  4.52589e-03  8.55825e-02  5.80692e-02  4.30140e-02  5.85357e-01  1.68017e-02  5.37876e-02  4.28156e-03
1030.181  5.97128e-01  2.83301e-01  4.40918e-03  8.56572e-02  5.76550e-02  4.32552e-02  5.80624e-01  1.65045e-02  5.33527e-02  4.30228e-03
1036.473  5.86160e-01  2.79468e-01  4.24780e-03  8.44499e-02  5.66190e-02  4.27388e-02  5.70553e-01  1.56065e-02  5.24273e-02  4.19164e-03
1042.749  5.81058e-01  2.77009e-01  4.12746e-03  8.37246e-02  5.60675e-02  4.23400e-02  5.65560e-01  1.54975e-02  5.19685e-02  4.09907e-03
1049.009  5.73909e-01  2.73554e-01  3.99276e-03  8.27464e-02  5.52932e-02  4.17580e-02  5.58730e-01  1.51790e-02  5.13409e-02  3.95230e-03
1055.253  5.64952e-01  2.68312e-01  3.84774e-03  8.12435e-02  5.43012e-02  4.08678e-02  5.50732e-01  1.42200e-02  5.06059e-02  3.69524e-03
1061.481  5.49652e-01  2.59966e-01  3.67198e-03  7.88137e-02  5.27060e-02  3.94971e-02  5.36052e-01  1.36002e-02  4.92570e-02  3.44904e-03
1067.693  5.36039e-01  2.51024e-01  3.53697e-03  7.62393e-02  5.12858e-02  3.80000e-02  5.23055e-01  1.29841e-02  4.80627e-02  3.22307e-03
1073.889  5.27420e-01  2.44408e-01  3.43998e-03  7.43946e-02  5.04037e-02  3.68815e-02  5.14865e-01  1.25554e-02  4.73101e-02  3.09357e-03
1080.069  5.14173e-01  2.34441e-01  3.31417e-03  7.15634e-02  4.90669e-02  3.52486e-02  5.02181e-01  1.19929e-02  4.61446e-02  2.92232e-03
1086.234  5.02343e-01  2.24766e-01  3.19930e-03  6.87803e-02  4.78663e-02  3.36852e-02  4.90863e-01  1.14800e-02  4.51046e-02  2.76166e-03
1092.383  4.81675e-01  2.09600e-01  3.03101e-03  6.43897e-02  4.58007e-02  3.12719e-02  4.70897e-01  1.07783e-02  4.32700e-02  2.53069e-03
1098.516  4.46435e-01  1.79187e-01  2.76790e-03  5.54094e-02  4.22478e-02  2.64526e-02  4.36757e-01  9.67817e-03  4.01329e-02  2.11484e-03
1104.634  4.32720e-01  1.65490e-01  2.64803e-03  5.14004e-02  4.08417e-02  2.42411e-02  4.23764e-01  8.95617e-03  3.89390e-02  1.90270e-03
