 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 405.248  1.37397e+00  6.31481e-01  9.13210e-02  1.75783e-01  1.64254e-01  1.05485e-01  1.00009e+00  3.73877e-01  9.19092e-02  7.23452e-02
 406.081  1.35915e+00  6.24185e-01  8.97964e-02  1.73796e-01  1.62324e-01  1.04239e-01  9.91450e-01  3.67698e-01  9.11148e-02  7.12095e-02
 406.913  1.36523e+00  6.26462e-01  8.96540e-02  1.74471e-01  1.62890e-01  1.04592e-01  9.98055e-01  3.67173e-01  9.17217e-02  7.11682e-02
 407.746  1.38991e+00  6.37263e-01  9.07377e-02  1.77517e-01  1.65675e-01  1.06368e-01  1.01824e+00  3.71664e-01  9.35767e-02  7.20982e-02
 408.578  1.41602e+00  6.48719e-01  9.19194e-02  1.80745e-01  1.68632e-01  1.08254e-01  1.03947e+00  3.76554e-01  9.55273e-02  7.31047e-02
 409.411  1.43257e+00  6.55788e-01  9.24692e-02  1.82753e-01  1.70446e-01  1.09407e-01  1.05371e+00  3.78858e-01  9.68365e-02  7.36100e-02
 410.243  1.44856e+00  6.62606e-01  9.29625e-02  1.84695e-01  1.72188e-01  1.10516e-01  1.06763e+00  3.80937e-01  9.81152e-02  7.40729e-02
 411.075  1.47175e+00  6.72731e-01  9.39103e-02  1.87563e-01  1.74782e-01  1.12176e-01  1.08687e+00  3.84879e-01  9.98833e-02  7.48983e-02
 411.907  1.49062e+00  6.80910e-01  9.45888e-02  1.89891e-01  1.76865e-01  1.13510e-01  1.10291e+00  3.87712e-01  1.01358e-01  7.55070e-02
 412.739  1.49443e+00  6.82232e-01  9.43098e-02  1.90311e-01  1.77160e-01  1.13700e-01  1.10782e+00  3.86614e-01  1.01809e-01  7.53506e-02
 413.571  1.49121e+00  6.80363e-01  9.35784e-02  1.89845e-01  1.76617e-01  1.13357e-01  1.10755e+00  3.83653e-01  1.01784e-01  7.48327e-02
 414.403  1.49269e+00  6.80648e-01  9.31427e-02  1.89980e-01  1.76632e-01  1.13373e-01  1.11079e+00  3.81900e-01  1.02081e-01  7.45502e-02
 415.235  1.49635e+00  6.81910e-01  9.28541e-02  1.90384e-01  1.76907e-01  1.13552e-01  1.11560e+00  3.80748e-01  1.02524e-01  7.43833e-02
 416.067  1.49177e+00  6.79390e-01  9.20661e-02  1.89727e-01  1.76211e-01  1.13103e-01  1.11423e+00  3.77539e-01  1.02398e-01  7.38131e-02
 416.899  1.47551e+00  6.71523e-01  9.05671e-02  1.87572e-01  1.74137e-01  1.11766e-01  1.10413e+00  3.71382e-01  1.01470e-01  7.26676e-02
 417.730  1.45180e+00  6.60264e-01  8.86234e-02  1.84467e-01  1.71186e-01  1.09864e-01  1.08844e+00  3.63362e-01  1.00027e-01  7.11591e-02
 418.562  1.42667e+00  6.48398e-01  8.66082e-02  1.81194e-01  1.68073e-01  1.07862e-01  1.07162e+00  3.55056e-01  9.84812e-02  6.95919e-02
 419.393  1.40973e+00  6.40299e-01  8.50981e-02  1.78978e-01  1.65928e-01  1.06485e-01  1.06084e+00  3.48892e-01  9.74906e-02  6.84369e-02
 420.225  1.40954e+00  6.39838e-01  8.46069e-02  1.78898e-01  1.65756e-01  1.06379e-01  1.06256e+00  3.46972e-01  9.76493e-02  6.81071e-02
 421.056  1.41574e+00  6.42290e-01  8.45201e-02  1.79630e-01  1.66344e-01  1.06759e-01  1.06904e+00  3.46702e-01  9.82445e-02  6.80994e-02
 421.888  1.40624e+00  6.37599e-01  8.35137e-02  1.78358e-01  1.65090e-01  1.05953e-01  1.06364e+00  3.42605e-01  9.77480e-02  6.73424e-02
 422.719  1.38125e+00  6.25845e-01  8.15879e-02  1.75106e-01  1.62017e-01  1.03975e-01  1.04656e+00  3.34691e-01  9.61780e-02  6.58387e-02
 423.550  1.36298e+00  6.17131e-01  8.00595e-02  1.72705e-01  1.59732e-01  1.02501e-01  1.03457e+00  3.28406e-01  9.50767e-02  6.46546e-02
 424.382  1.35980e+00  6.15290e-01  7.94333e-02  1.72229e-01  1.59220e-01  1.02170e-01  1.03394e+00  3.25860e-01  9.50186e-02  6.42010e-02
 425.213  1.35727e+00  6.13787e-01  7.88657e-02  1.71848e-01  1.58790e-01  1.01894e-01  1.03367e+00  3.23591e-01  9.49939e-02  6.37956e-02
 426.044  1.34182e+00  6.06466e-01  7.75634e-02  1.69839e-01  1.56854e-01  1.00654e-01  1.02351e+00  3.18305e-01  9.40603e-02  6.27936e-02
 426.875  1.31125e+00  5.92315e-01  7.54043e-02  1.65913e-01  1.53155e-01  9.82807e-02  1.00177e+00  3.09480e-01  9.20618e-02  6.10931e-02
 427.706  1.26348e+00  5.70416e-01  7.22877e-02  1.59814e-01  1.47457e-01  9.46240e-02  9.66780e-01  2.96704e-01  8.88464e-02  5.86107e-02
 428.537  1.19535e+00  5.39354e-01  6.80428e-02  1.51144e-01  1.39394e-01  8.94496e-02  9.16066e-01  2.79288e-01  8.41858e-02  5.52080e-02
 429.368  1.12330e+00  5.06559e-01  6.35953e-02  1.41989e-01  1.30880e-01  8.39884e-02  8.62269e-01  2.61035e-01  7.92418e-02  5.16381e-02
 430.199  1.09180e+00  4.92082e-01  6.14383e-02  1.37973e-01  1.27088e-01  8.15627e-02  8.39615e-01  2.52184e-01  7.71600e-02  4.99285e-02
 431.030  1.13484e+00  5.11214e-01  6.34701e-02  1.43383e-01  1.31972e-01  8.47069e-02  8.74315e-01  2.60526e-01  8.03489e-02  5.16234e-02
 431.860  1.22708e+00  5.52464e-01  6.82606e-02  1.54989e-01  1.42579e-01  9.15177e-02  9.46893e-01  2.80190e-01  8.70187e-02  5.55600e-02
 432.691  1.30730e+00  5.88212e-01  7.23731e-02  1.65043e-01  1.51783e-01  9.74186e-02  1.01023e+00  2.97066e-01  9.28394e-02  5.89439e-02
 433.522  1.35134e+00  6.07623e-01  7.44432e-02  1.70513e-01  1.56774e-01  1.00612e-01  1.04578e+00  3.05555e-01  9.61063e-02  6.06678e-02
 434.352  1.38419e+00  6.22001e-01  7.58538e-02  1.74580e-01  1.60453e-01  1.02968e-01  1.07285e+00  3.11336e-01  9.85939e-02  6.18590e-02
 435.183  1.42593e+00  6.40392e-01  7.77313e-02  1.79779e-01  1.65156e-01  1.05985e-01  1.10689e+00  3.19035e-01  1.01722e-01  6.34335e-02
 436.013  1.46282e+00  6.56603e-01  7.93432e-02  1.84366e-01  1.69296e-01  1.08642e-01  1.13717e+00  3.25645e-01  1.04505e-01  6.47913e-02
 436.844  1.47175e+00  6.60250e-01  7.94390e-02  1.85424e-01  1.70200e-01  1.09220e-01  1.14571e+00  3.26033e-01  1.05290e-01  6.49103e-02
