 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 405.248    1.11498e-01    1.12193e-01   -6.94850e-04
 406.081    1.10795e-01    1.10865e-01   -7.04757e-05
 406.913    1.11271e-01    1.11227e-01    4.40712e-05
 407.746    1.12545e-01    1.13096e-01   -5.51400e-04
 408.578    1.15043e-01    1.15079e-01   -3.59001e-05
 409.411    1.16421e-01    1.16286e-01    1.35227e-04
 410.243    1.17893e-01    1.17455e-01    4.38183e-04
 411.075    1.19163e-01    1.19222e-01   -5.85351e-05
 411.907    1.20376e-01    1.20651e-01   -2.75330e-04
 412.739    1.20871e-01    1.20876e-01   -5.18856e-06
 413.571    1.20259e-01    1.20548e-01   -2.89297e-04
 414.403    1.20639e-01    1.20603e-01    3.60052e-05
 415.235    1.20827e-01    1.20823e-01    4.26618e-06
 416.067    1.19939e-01    1.20356e-01   -4.17338e-04
 416.899    1.18459e-01    1.18929e-01   -4.70336e-04
 417.730    1.17108e-01    1.16897e-01    2.10950e-04
 418.562    1.14516e-01    1.14769e-01   -2.53041e-04
 419.393    1.13253e-01    1.13324e-01   -7.10340e-05
 420.225    1.13411e-01    1.13240e-01    1.71341e-04
 421.056    1.12995e-01    1.13667e-01   -6.72226e-04
 421.888    1.12955e-01    1.12815e-01    1.40364e-04
 422.719    1.10463e-01    1.10699e-01   -2.36200e-04
 423.550    1.09023e-01    1.09117e-01   -9.36042e-05
 424.382    1.08345e-01    1.08762e-01   -4.17045e-04
 425.213    1.08450e-01    1.08482e-01   -3.17209e-05
 426.044    1.06851e-01    1.07177e-01   -3.26456e-04
 426.875    1.04964e-01    1.04662e-01    3.01662e-04
 427.706    1.00366e-01    1.00776e-01   -4.09657e-04
 428.537    9.51798e-02    9.52725e-02   -9.26748e-05
 429.368    8.92728e-02    8.94719e-02   -1.99066e-04
 430.199    8.67799e-02    8.69227e-02   -1.42764e-04
 431.030    9.03981e-02    9.03176e-02    8.04718e-05
 431.860    9.78137e-02    9.75993e-02    2.14379e-04
 432.691    1.03805e-01    1.03876e-01   -7.07739e-05
 433.522    1.07491e-01    1.07255e-01    2.35580e-04
 434.352    1.09936e-01    1.09759e-01    1.77459e-04
 435.183    1.12556e-01    1.12985e-01   -4.28594e-04
 436.013    1.15668e-01    1.15827e-01   -1.59189e-04
 436.844    1.16736e-01    1.16447e-01    2.88847e-04
 437.674    1.15521e-01    1.14933e-01    5.88277e-04
 438.504    1.13075e-01    1.13409e-01   -3.34259e-04
 439.335    1.13846e-01    1.13756e-01    8.95599e-05
 440.165    1.16013e-01    1.15917e-01    9.58898e-05
 440.995    1.18350e-01    1.18654e-01   -3.04276e-04
 441.825    1.21116e-01    1.21005e-01    1.10765e-04
 442.655    1.23316e-01    1.22625e-01    6.90700e-04
 443.486    1.23536e-01    1.23497e-01    3.90133e-05
 444.316    1.24229e-01    1.23725e-01    5.04003e-04
 445.146    1.23610e-01    1.23697e-01   -8.73147e-05
 445.976    1.24350e-01    1.24326e-01    2.37629e-05
 446.805    1.26122e-01    1.26279e-01   -1.56976e-04
 447.635    1.29140e-01    1.29060e-01    7.99383e-05
 448.465    1.31620e-01    1.31787e-01   -1.66572e-04
 449.295    1.34310e-01    1.34212e-01    9.75487e-05
 450.125    1.36652e-01    1.36105e-01    5.47222e-04
 450.954    1.36341e-01    1.36568e-01   -2.27191e-04
 451.784    1.34782e-01    1.35104e-01   -3.21770e-04
 452.613    1.33320e-01    1.32874e-01    4.46250e-04
 453.443    1.31184e-01    1.31701e-01   -5.17119e-04
 454.273    1.32292e-01    1.32160e-01    1.31926e-04
 455.102    1.33369e-01    1.33442e-01   -7.34762e-05
 455.931    1.34623e-01    1.34550e-01    7.26005e-05
 456.761    1.35413e-01    1.34973e-01    4.40169e-04
 457.590    1.34404e-01    1.34721e-01   -3.16965e-04
 458.420    1.34788e-01    1.34204e-01    5.84103e-04
 459.249    1.33875e-01    1.33920e-01   -4.52520e-05
 460.078    1.33956e-01    1.34070e-01   -1.13592e-04
 460.907    1.34764e-01    1.34386e-01    3.77688e-04
 461.737    1.34928e-01    1.34448e-01    4.79514e-04
 462.566    1.34265e-01    1.34158e-01    1.06940e-04
 463.395    1.33182e-01    1.33729e-01   -5.47093e-04
 464.224    1.33296e-01    1.33390e-01   -9.36511e-05
 465.053    1.32719e-01    1.33260e-01   -5.40748e-04
 465.882    1.33625e-01    1.33380e-01    2.44997e-04
 466.711    1.33576e-01    1.33794e-01   -2.17702e-04
 467.540    1.34318e-01    1.34448e-01   -1.30018e-04
 468.369    1.34067e-01    1.34967e-01   -8.99650e-04
 469.198    1.36497e-01    1.34960e-01    1.53722e-03
 470.027    1.32188e-01    1.34527e-01   -2.33928e-03
 470.855    1.33882e-01    1.34076e-01   -1.93587e-04
 471.684    1.32870e-01    1.33830e-01   -9.60198e-04
 472.513    1.34718e-01    1.33822e-01    8.95620e-04
 473.342    1.34993e-01    1.34106e-01    8.86523e-04
 474.170    1.35435e-01    1.34594e-01    8.41080e-04
 474.999    1.34424e-01    1.34902e-01   -4.78489e-04
 475.828    1.33571e-01    1.34803e-01   -1.23221e-03
 476.656    1.34324e-01    1.34580e-01   -2.55603e-04
 477.485    1.34491e-01    1.34488e-01    3.11917e-06
 478.313    1.33672e-01    1.34356e-01   -6.83812e-04
 479.142    1.33892e-01    1.34080e-01   -1.87793e-04
 479.970    1.34151e-01    1.33905e-01    2.45914e-04
 480.799    1.32816e-01    1.33990e-01   -1.17402e-03
 481.627    1.32052e-01    1.34079e-01   -2.02729e-03
 482.456    1.33737e-01    1.33597e-01    1.39609e-04
 483.284    1.32094e-01    1.31927e-01    1.67215e-04
 484.112    1.29456e-01    1.28716e-01    7.40466e-04
 484.941    1.24701e-01    1.24371e-01    3.30275e-04
 485.769    1.21726e-01    1.20580e-01    1.14634e-03
 486.597    1.18894e-01    1.19314e-01   -4.20106e-04
 487.426    1.20667e-01    1.20715e-01   -4.79989e-05
 488.254    1.23386e-01    1.23183e-01    2.03286e-04
 489.082    1.25075e-01    1.25381e-01   -3.05894e-04
 489.910    1.26379e-01    1.26688e-01   -3.08621e-04
 490.738    1.26445e-01    1.26827e-01   -3.81558e-04
 491.567    1.25876e-01    1.26358e-01   -4.81818e-04
 492.395    1.27201e-01    1.26357e-01    8.44072e-04
 493.223    1.26762e-01    1.27186e-01   -4.23707e-04
 494.051    1.28130e-01    1.28352e-01   -2.21706e-04
 494.879    1.29142e-01    1.29101e-01    4.11211e-05
 495.707    1.28855e-01    1.28798e-01    5.73757e-05
 496.535    1.27341e-01    1.27360e-01   -1.88658e-05
 497.363    1.25101e-01    1.25373e-01   -2.72196e-04
 498.191    1.23033e-01    1.23516e-01   -4.83493e-04
 499.019    1.22145e-01    1.22033e-01    1.11673e-04
 499.847    1.20667e-01    1.20819e-01   -1.52366e-04
 500.675    1.19889e-01    1.19868e-01    2.12899e-05
 501.502    1.19319e-01    1.19389e-01   -7.03190e-05
 502.330    1.20211e-01    1.19451e-01    7.59707e-04
 503.158    1.20001e-01    1.19940e-01    6.11283e-05
 503.986    1.20224e-01    1.21007e-01   -7.83402e-04
 504.814    1.22474e-01    1.22712e-01   -2.37727e-04
 505.642    1.24243e-01    1.24165e-01    7.81482e-05
 506.469    1.23571e-01    1.24262e-01   -6.91211e-04
 507.297    1.22914e-01    1.23270e-01   -3.55843e-04
 508.125    1.22776e-01    1.22461e-01    3.14936e-04
 508.953    1.22367e-01    1.22383e-01   -1.63453e-05
 509.780    1.22794e-01    1.22588e-01    2.06099e-04
 510.608    1.22840e-01    1.22599e-01    2.40864e-04
 511.436    1.21798e-01    1.22059e-01   -2.60568e-04
 512.263    1.20531e-01    1.20598e-01   -6.72296e-05
 513.091    1.19329e-01    1.18461e-01    8.68371e-04
 513.918    1.16140e-01    1.16460e-01   -3.19682e-04
 514.746    1.14787e-01    1.14662e-01    1.25404e-04
 515.574    1.11413e-01    1.12091e-01   -6.78371e-04
 516.401    1.09071e-01    1.08623e-01    4.47997e-04
 517.229    1.06038e-01    1.06027e-01    1.14909e-05
 518.056    1.05567e-01    1.05884e-01   -3.17118e-04
 518.884    1.08299e-01    1.07830e-01    4.68881e-04
 519.711    1.10387e-01    1.10549e-01   -1.62404e-04
 520.539    1.13061e-01    1.12980e-01    8.09195e-05
 521.366    1.15027e-01    1.14530e-01    4.96847e-04
 522.194    1.14832e-01    1.15231e-01   -3.98540e-04
 523.021    1.15998e-01    1.15616e-01    3.82376e-04
 523.849    1.15940e-01    1.15846e-01    9.44870e-05
 524.676    1.15387e-01    1.15226e-01    1.60904e-04
 525.503    1.14021e-01    1.13345e-01    6.76481e-04
 526.331    1.11747e-01    1.11393e-01    3.53848e-04
 527.158    1.11288e-01    1.11289e-01   -8.30305e-07
 527.986    1.13248e-01    1.13349e-01   -1.01114e-04
 528.813    1.16086e-01    1.15945e-01    1.40833e-04
 529.640    1.17339e-01    1.17628e-01   -2.89103e-04
 530.468    1.18151e-01    1.18041e-01    1.09721e-04
 531.295    1.16745e-01    1.17022e-01   -2.77182e-04
 532.122    1.14796e-01    1.14779e-01    1.65715e-05
 532.949    1.12105e-01    1.12714e-01   -6.09462e-04
 533.777    1.11898e-01    1.12359e-01   -4.60541e-04
 534.604    1.13228e-01    1.13666e-01   -4.38114e-04
 535.431    1.15188e-01    1.15279e-01   -9.09962e-05
 536.259    1.16566e-01    1.16114e-01    4.51835e-04
 537.086    1.16247e-01    1.16175e-01    7.15833e-05
 537.913    1.15648e-01    1.15886e-01   -2.37680e-04
 538.740    1.15706e-01    1.15185e-01    5.21380e-04
 539.567    1.14013e-01    1.13876e-01    1.36834e-04
 540.395    1.12855e-01    1.12485e-01    3.70420e-04
 541.222    1.12045e-01    1.11956e-01    8.91283e-05
 542.049    1.12133e-01    1.12519e-01   -3.85751e-04
 542.876    1.14033e-01    1.13561e-01    4.71609e-04
 543.703    1.14713e-01    1.14431e-01    2.81700e-04
 544.530    1.15130e-01    1.14810e-01    3.19549e-04
 545.358    1.14472e-01    1.14688e-01   -2.16230e-04
 546.185    1.14162e-01    1.14241e-01   -7.93249e-05
 547.012    1.13610e-01    1.13597e-01    1.30579e-05
 547.839    1.13274e-01    1.12912e-01    3.61826e-04
 548.666    1.12500e-01    1.12440e-01    5.99447e-05
 549.493    1.12113e-01    1.12254e-01   -1.41414e-04
 550.320    1.12146e-01    1.12292e-01   -1.46016e-04
 551.147    1.12287e-01    1.12527e-01   -2.40395e-04
 551.974    1.13039e-01    1.12843e-01    1.95748e-04
 552.801    1.12723e-01    1.13099e-01   -3.75735e-04
 553.628    1.13779e-01    1.13254e-01    5.24503e-04
 554.455    1.13682e-01    1.13135e-01    5.46917e-04
 555.283    1.13493e-01    1.12491e-01    1.00233e-03
 556.110    1.12076e-01    1.11421e-01    6.54522e-04
 556.937    1.11055e-01    1.10332e-01    7.22740e-04
 557.764    1.07840e-01    1.09446e-01   -1.60570e-03
 558.591    1.07906e-01    1.08860e-01   -9.54072e-04
 559.418    1.08364e-01    1.08871e-01   -5.07316e-04
