 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 894.195    1.18066e-01    1.18536e-01   -4.70257e-04
 900.842    9.37813e-02    9.28277e-02    9.53600e-04
 907.472    9.76935e-02    9.70093e-02    6.84249e-04
 914.084    9.38712e-02    9.20570e-02    1.81419e-03
 920.678    1.02640e-01    1.03453e-01   -8.13026e-04
 927.255    9.20613e-02    9.13416e-02    7.19723e-04
 933.815    3.68697e-02    3.67488e-02    1.20932e-04
 940.358    6.29034e-02    6.34680e-02   -5.64584e-04
 946.883    5.15702e-02    5.17390e-02   -1.68755e-04
 953.391    6.01697e-02    5.96708e-02    4.98889e-04
 959.883    7.10143e-02    7.15906e-02   -5.76276e-04
 966.357    8.24905e-02    8.19591e-02    5.31400e-04
 972.814    9.22726e-02    9.17708e-02    5.01791e-04
 979.255    9.57403e-02    9.40934e-02    1.64691e-03
 985.679    1.03276e-01    1.03217e-01    5.92395e-05
 992.086    1.05249e-01    1.05456e-01   -2.06539e-04
 998.476    1.03382e-01    1.05093e-01   -1.71087e-03
1004.850    9.86541e-02    9.96734e-02   -1.01926e-03
1011.208    1.00066e-01    1.01441e-01   -1.37536e-03
1017.548    1.00498e-01    1.00671e-01   -1.72863e-04
1023.873    9.84205e-02    9.93613e-02   -9.40757e-04
1030.181    9.93213e-02    9.94250e-02   -1.03706e-04
1036.473    9.88807e-02    9.80287e-02    8.52037e-04
1042.749    9.89203e-02    9.72137e-02    1.70659e-03
1049.009    9.54335e-02    9.60545e-02   -6.21035e-04
1055.253    9.52059e-02    9.43386e-02    8.67296e-04
1061.481    9.10638e-02    9.15337e-02   -4.69896e-04
1067.693    8.81429e-02    8.85959e-02   -4.53011e-04
1073.889    8.68240e-02    8.64544e-02    3.69559e-04
1080.069    8.44246e-02    8.31753e-02    1.24925e-03
1086.234    7.99321e-02    7.99920e-02   -5.98831e-05
1092.383    7.49612e-02    7.48946e-02    6.66230e-05
1098.516    6.50793e-02    6.45614e-02    5.17913e-04
1104.634    5.89614e-02    5.99479e-02   -9.86458e-04
1110.737    5.64598e-02    5.64450e-02    1.48231e-05
1116.824    2.92388e-02    2.97879e-02   -5.49130e-04
1122.896    1.31773e-02    1.33291e-02   -1.51780e-04
1128.953    1.88082e-02    1.89151e-02   -1.06895e-04
1134.995    1.53459e-02    1.52376e-02    1.08253e-04
