 lambda   Irr_dw       Irr_up       Rad_dw       Rad_up       Act_dw       Act_up       Irr_dw_dir   Irr_up_diff  Act_dw_dir   Act_up_diff
 400.000  1.42537e+00  7.27396e-01  1.00085e-01  2.08905e-01  1.72813e-01  1.19832e-01  1.01347e+00  4.11900e-01  9.31389e-02  7.96740e-02
 401.000  1.41260e+00  7.20646e-01  9.84969e-02  2.07070e-01  1.71066e-01  1.18673e-01  1.00713e+00  4.05467e-01  9.25563e-02  7.85101e-02
 402.000  1.49267e+00  7.61113e-01  1.03350e-01  2.18790e-01  1.80556e-01  1.25292e-01  1.06711e+00  4.25564e-01  9.80680e-02  8.24878e-02
 403.000  1.39380e+00  7.09717e-01  9.58137e-02  2.04032e-01  1.68392e-01  1.16805e-01  9.99187e-01  3.94615e-01  9.18260e-02  7.65660e-02
 404.000  1.49341e+00  7.60014e-01  1.01951e-01  2.18577e-01  1.80220e-01  1.25039e-01  1.07344e+00  4.19970e-01  9.86495e-02  8.15703e-02
 405.000  1.36562e+00  6.94765e-01  9.25841e-02  1.99908e-01  1.64615e-01  1.14260e-01  9.84108e-01  3.81512e-01  9.04401e-02  7.41745e-02
 406.000  1.35130e+00  6.86787e-01  9.09716e-02  1.97651e-01  1.62700e-01  1.12917e-01  9.76365e-01  3.74938e-01  8.97285e-02  7.29713e-02
 407.000  1.31228e+00  6.66507e-01  8.77329e-02  1.91878e-01  1.57821e-01  1.09547e-01  9.50596e-01  3.61679e-01  8.73603e-02  7.04607e-02
 408.000  1.41753e+00  7.19419e-01  9.41187e-02  2.07172e-01  1.70285e-01  1.18208e-01  1.02946e+00  3.88073e-01  9.46076e-02  7.56776e-02
 409.000  1.56451e+00  7.93418e-01  1.03165e-01  2.28547e-01  1.87729e-01  1.30326e-01  1.13906e+00  4.25448e-01  1.04680e-01  8.30491e-02
 410.000  1.30422e+00  6.60763e-01  8.54099e-02  1.90371e-01  1.56320e-01  1.08507e-01  9.51936e-01  3.52282e-01  8.74832e-02  6.88365e-02
