 lambda   Irr_dw            Rad_up 
 550.000  1.5328351000e+00  1.3538415530e-01 
 551.000  1.5227047000e+00  1.3441673280e-01 
 552.000  1.5877126000e+00  1.4015931700e-01 
 553.000  1.5249751000e+00  1.3453181460e-01 
 554.000  1.5742687000e+00  1.3886950680e-01 
 555.000  1.5781781000e+00  1.3909895320e-01 
 556.000  1.5342002000e+00  1.3511529540e-01 
 557.000  1.4882519000e+00  1.3106314090e-01 
 558.000  1.5443507000e+00  1.3589433290e-01 
 559.000  1.4593601000e+00  1.2835505680e-01 
 560.000  1.4654093000e+00  1.2887481690e-01 
 561.000  1.6101578000e+00  1.4148359680e-01 
 562.000  1.4776712000e+00  1.2979849240e-01 
 563.000  1.5456308000e+00  1.3565522770e-01 
 564.000  1.5235487000e+00  1.3356024170e-01 
 565.000  1.5413753000e+00  1.3508593750e-01 
 566.000  1.4208413000e+00  1.2442317960e-01 
 567.000  1.5237753000e+00  1.3320544430e-01 
 568.000  1.5194009000e+00  1.3223326110e-01 
 569.000  1.4881058000e+00  1.2826701350e-01 
 570.000  1.4957557000e+00  1.2904594420e-01 
 571.000  1.4430461000e+00  1.2526934050e-01 
 572.000  1.5245120000e+00  1.3152577210e-01 
 573.000  1.5405921000e+00  1.3310780330e-01 
 574.000  1.5319945000e+00  1.3236050420e-01 
 575.000  1.4943305000e+00  1.2898197940e-01 
 576.000  1.4670509000e+00  1.2655373380e-01 
 577.000  1.5279097000e+00  1.3192958070e-01 
 578.000  1.4833802000e+00  1.2839711000e-01 
 579.000  1.4720181000e+00  1.2749679570e-01 
 580.000  1.5226786000e+00  1.3204960630e-01 
 581.000  1.4951577000e+00  1.2983261110e-01 
 582.000  1.5174651000e+00  1.3172978210e-01 
 583.000  1.5278950000e+00  1.3266693120e-01 
 584.000  1.5228942000e+00  1.3211299130e-01 
 585.000  1.5127199000e+00  1.3112596130e-01 
 586.000  1.4475780000e+00  1.2545080570e-01 
 587.000  1.5039615000e+00  1.2978910830e-01 
 588.000  1.4879900000e+00  1.2679038240e-01 
 589.000  1.3187281000e+00  1.1035102080e-01 
 590.000  1.3768377000e+00  1.1508311460e-01 
 591.000  1.4630381000e+00  1.2365883640e-01 
 592.000  1.4348762000e+00  1.2041490940e-01 
 593.000  1.4500319000e+00  1.2325936130e-01 
 594.000  1.4631846000e+00  1.2398136900e-01 
 595.000  1.4350754000e+00  1.2040278630e-01 
 596.000  1.4706743000e+00  1.2504679870e-01 
 597.000  1.4750292000e+00  1.2494674680e-01 
 598.000  1.4448381000e+00  1.2308457180e-01 
 599.000  1.4452046000e+00  1.2338726810e-01 
 600.000  1.4455427000e+00  1.2406476590e-01 
 601.000  1.4374179000e+00  1.2384360500e-01 
 602.000  1.4216955000e+00  1.2258621980e-01 
 603.000  1.4302676000e+00  1.2349328610e-01 
 604.000  1.4755643000e+00  1.2756937410e-01 
 605.000  1.4717686000e+00  1.2718600460e-01 
 606.000  1.4546882000e+00  1.2576059720e-01 
 607.000  1.4464796000e+00  1.2500400540e-01 
 608.000  1.4411399000e+00  1.2447151180e-01 
 609.000  1.4263200000e+00  1.2318563840e-01 
 610.000  1.4034449000e+00  1.2114211270e-01 
 611.000  1.4261993000e+00  1.2309354400e-01 
 612.000  1.4075986000e+00  1.2148058320e-01 
 613.000  1.3870004000e+00  1.1964842990e-01 
 614.000  1.3364181000e+00  1.1529055020e-01 
 615.000  1.4009362000e+00  1.2077468110e-01 
 616.000  1.3319906000e+00  1.1484371950e-01 
 617.000  1.3394865000e+00  1.1547418980e-01 
 618.000  1.4026527000e+00  1.2081735990e-01 
 619.000  1.3897793000e+00  1.1973685460e-01 
 620.000  1.4102785000e+00  1.2139783480e-01 
 621.000  1.4345003000e+00  1.2346266940e-01 
 622.000  1.3588097000e+00  1.1688704680e-01 
 623.000  1.3693655000e+00  1.1766000370e-01 
 624.000  1.3708085000e+00  1.1781739040e-01 
 625.000  1.3336533000e+00  1.1460396580e-01 
 626.000  1.3403795000e+00  1.1499324800e-01 
 627.000  1.3627476000e+00  1.1632559970e-01 
 628.000  1.3443448000e+00  1.1367791750e-01 
 629.000  1.3781547000e+00  1.1687133790e-01 
 630.000  1.3324393000e+00  1.1349871060e-01 
 631.000  1.3813441000e+00  1.1777198790e-01 
 632.000  1.2866395000e+00  1.0927170560e-01 
 633.000  1.3811451000e+00  1.1780650330e-01 
 634.000  1.3396727000e+00  1.1444100950e-01 
 635.000  1.3641617000e+00  1.1652591710e-01 
 636.000  1.3160994000e+00  1.1251030730e-01 
 637.000  1.3595266000e+00  1.1628443910e-01 
 638.000  1.3806936000e+00  1.1832089230e-01 
 639.000  1.3692786000e+00  1.1723883820e-01 
 640.000  1.3263201000e+00  1.1378417210e-01 
 641.000  1.3454675000e+00  1.1538806150e-01 
 642.000  1.3293176000e+00  1.1406499480e-01 
 643.000  1.3525557000e+00  1.1584477230e-01 
 644.000  1.3370398000e+00  1.1443117520e-01 
 645.000  1.3486878000e+00  1.1517978670e-01 
 646.000  1.2972081100e+00  1.0959053040e-01 
 647.000  1.3147487500e+00  1.1025745390e-01 
 648.000  1.3123561400e+00  1.0931452940e-01 
 649.000  1.3384351900e+00  1.1205747220e-01 
 650.000  1.2403800000e+00  1.0512825780e-01 
 651.000  1.3361243500e+00  1.1322396850e-01 
 652.000  1.3102700600e+00  1.0982927700e-01 
 653.000  1.3367956800e+00  1.1342471310e-01 
 654.000  1.3192802700e+00  1.1167873380e-01 
 655.000  1.2844596500e+00  1.0821145630e-01 
 656.000  1.0905091800e+00  9.1985122680e-02 
 657.000  1.1639175000e+00  9.8413604740e-02 
 658.000  1.2964927700e+00  1.1014347840e-01 
 659.000  1.2996375200e+00  1.1064740750e-01 
 660.000  1.3098428100e+00  1.1164058690e-01 
 661.000  1.3156377600e+00  1.1253937530e-01 
 662.000  1.3345867100e+00  1.1432386020e-01 
 663.000  1.3197527700e+00  1.1297370150e-01 
 664.000  1.2987910700e+00  1.1122781370e-01 
 665.000  1.3044461800e+00  1.1174068450e-01 
 666.000  1.3201677700e+00  1.1321518710e-01 
 667.000  1.2939696400e+00  1.1094553380e-01 
 668.000  1.3013291500e+00  1.1170027160e-01 
 669.000  1.3198982800e+00  1.1335397340e-01 
 670.000  1.3044200300e+00  1.1194355010e-01 
 671.000  1.2903162000e+00  1.1076539610e-01 
 672.000  1.2862321400e+00  1.1039790340e-01 
 673.000  1.2954182900e+00  1.1115976720e-01 
 674.000  1.2979262600e+00  1.1138037110e-01 
 675.000  1.2781185300e+00  1.0964014430e-01 
 676.000  1.3022459200e+00  1.1171700290e-01 
 677.000  1.2763394200e+00  1.0950260930e-01 
 678.000  1.2974650300e+00  1.1128589630e-01 
