 lambda   Irr_dw            Rad_up 
 630.512  1.3459764269e+00  8.9823844923e-02 
 631.338  1.3413503304e+00  8.9572397943e-02 
 632.164  1.3399398790e+00  8.9531030115e-02 
 632.991  1.3424228493e+00  8.9777063949e-02 
 633.817  1.3449505463e+00  9.0041381636e-02 
 634.643  1.3446572856e+00  9.0104986175e-02 
 635.470  1.3436323246e+00  9.0103313512e-02 
 636.296  1.3459999139e+00  9.0324151747e-02 
 637.122  1.3520192537e+00  9.0790020823e-02 
 637.948  1.3564897156e+00  9.1147360913e-02 
 638.775  1.3545894781e+00  9.1070262792e-02 
 639.601  1.3475362323e+00  9.0641792087e-02 
 640.427  1.3405427925e+00  9.0205298769e-02 
 641.253  1.3370390491e+00  8.9975343996e-02 
 642.079  1.3367224499e+00  8.9917211221e-02 
 642.905  1.3372456346e+00  8.9860895054e-02 
 643.732  1.3358581106e+00  8.9596687981e-02 
 644.558  1.3308001716e+00  8.8965779473e-02 
 645.384  1.3228700885e+00  8.8003201322e-02 
 646.210  1.3155445054e+00  8.7003473606e-02 
 647.036  1.3115112645e+00  8.6289039768e-02 
 647.862  1.3091558812e+00  8.5905626823e-02 
 648.688  1.3050766659e+00  8.5688469446e-02 
 649.514  1.3003242796e+00  8.5607718619e-02 
 650.340  1.3001737958e+00  8.5817262018e-02 
 651.166  1.3059675740e+00  8.6297097411e-02 
 651.992  1.3122112299e+00  8.6738196781e-02 
 652.818  1.3114578831e+00  8.6723137183e-02 
 653.644  1.2969679600e+00  8.5783643298e-02 
 654.470  1.2656124468e+00  8.3679800401e-02 
 655.296  1.2262976993e+00  8.1050840102e-02 
 656.122  1.2010118660e+00  7.9427169101e-02 
 656.948  1.2064893357e+00  7.9934986990e-02 
 657.774  1.2363001763e+00  8.2110660131e-02 
 658.599  1.2695011036e+00  8.4518133578e-02 
 659.425  1.2927539351e+00  8.6250346465e-02 
 660.251  1.3059852117e+00  8.7299618002e-02 
 661.077  1.3132932587e+00  8.7928239993e-02 
 661.903  1.3160672388e+00  8.8208234806e-02 
 662.728  1.3142567406e+00  8.8131842896e-02 
 663.554  1.3098197420e+00  8.7851552919e-02 
 664.380  1.3061513759e+00  8.7620289075e-02 
 665.206  1.3045407234e+00  8.7535043799e-02 
 666.031  1.3036018778e+00  8.7500257566e-02 
 666.857  1.3025610174e+00  8.7459856756e-02 
 667.683  1.3024164141e+00  8.7477492392e-02 
 668.508  1.3030071585e+00  8.7534797492e-02 
 669.334  1.3020290404e+00  8.7470265441e-02 
1503.952  2.1132050887e-01  9.9447805319e-03 
1509.148  2.2969356046e-01  1.1410789868e-02 
1514.333  2.3097609039e-01  1.1835792804e-02 
1519.509  2.3583142377e-01  1.2431088122e-02 
1524.675  2.3609328599e-01  1.2769541580e-02 
1529.831  2.3344218096e-01  1.2758492972e-02 
1534.978  2.3505295191e-01  1.2945947521e-02 
1540.114  2.3246372667e-01  1.3039033001e-02 
1545.242  2.3649169305e-01  1.3407876097e-02 
1550.360  2.3311280266e-01  1.3367958711e-02 
1555.468  2.2876062968e-01  1.3165443904e-02 
1560.567  2.3018169725e-01  1.3414425705e-02 
1565.657  2.2400658791e-01  1.3039036962e-02 
1570.738  2.1550174513e-01  1.2558300806e-02 
1575.809  2.0621267201e-01  1.2120287461e-02 
1580.872  2.1498405100e-01  1.2618360700e-02 
1585.926  2.1554324807e-01  1.2788459099e-02 
1590.971  2.0818379263e-01  1.2445719600e-02 
1596.007  2.1187540539e-01  1.2692076616e-02 
1601.035  2.0464809488e-01  1.2271070153e-02 
1606.054  2.0401700350e-01  1.2386240326e-02 
1611.064  1.9959601520e-01  1.2093206872e-02 
1616.066  2.0204503721e-01  1.2261677314e-02 
1621.060  2.0353326462e-01  1.2504056839e-02 
1626.045  2.0758779942e-01  1.2829128866e-02 
1631.023  2.0533262425e-01  1.2700443158e-02 
1635.992  1.9922070723e-01  1.2202973240e-02 
1640.954  1.9039351517e-01  1.1579571223e-02 
1645.907  1.9318769907e-01  1.1899450077e-02 
1650.852  1.9269476372e-01  1.1881976493e-02 
1655.790  1.9320391317e-01  1.1933582068e-02 
